RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/RDM/m_RDM_TMP_RCA_ORIG_RENEWED/_ETL_m_RDM_TMP_RCA_ORIG_RENEWED.json","2026/03/17 19:23:22.705","896","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_UBR_CRES_GRUPO_OFICINAS_UPDATE/_ETL_m_DWH_D_UBR_CRES_GRUPO_OFICINAS_UPDATE.json","2026/03/19 12:57:54.178","793","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DQ3_ODS_PM_TEX41/_ETL_m_DQ3_ODS_PM_TEX41.json","2026/03/17 17:56:41.929","758","java.lang.RuntimeException(1): Table <...> not found"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONDICION_ECONOMICA_PM_UPDATE/_ETL_m_DWH_D_CONDICION_ECONOMICA_PM_UPDATE.json","2026/03/17 21:22:48.896","633","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_ODS_L_NIVEL_RIESGO/_ETL_m_ODS_L_NIVEL_RIESGO.json","2026/03/19 10:57:20.756","621","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_LKP_POA/_ETL_m_DWH_E_LKP_POA.json","2026/03/19 15:20:41.685","435","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_TARIF_COND_STANDARD_UPDATE/_ETL_m_DWH_LKP_TARIF_COND_STANDARD_UPDATE.json","2026/03/19 12:20:12.681","352","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_F_OPERACION_FICHERO_EB_UPDATE/_ETL_m_DWH_F_OPERACION_FICHERO_EB_UPDATE.json","2026/03/19 16:23:27.000","267","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_D_GARANTIA/_ETL_m_DWH_E_D_GARANTIA.json","2026/03/17 17:31:58.562","254","SUCCESS"
"src/main/resources/xmltobq/RDM/m_RDM_D_PERSONA_U/_ETL_m_RDM_D_PERSONA_U.json","2026/03/17 17:35:16.428","246","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_F_TRANSF_EXTRANJ_ISO20022_UPDATE/_ETL_m_DWH_F_TRANSF_EXTRANJ_ISO20022_UPDATE.json","2026/03/19 12:07:10.697","242","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_F_OPERACION_ONLINE_EB_UPDATE/_ETL_m_DWH_F_OPERACION_ONLINE_EB_UPDATE.json","2026/03/19 12:14:18.356","219","org.apache.spark.SparkException(1): Job aborted due to stage failure: Task serialization failed: java.lang.StackOverflowError"
"src/main/resources/xmltobq/DWH/m_DWH_D_ACT_OUTPUT_CLIENTE_INSERT/_ETL_m_DWH_D_ACT_OUTPUT_CLIENTE_INSERT.json","2026/03/17 19:54:05.042","215","SUCCESS"
