cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-dmr-load-t-23-50-2350,_ETL_m_DWH_LKP_MOVIMIENTO_DP_INSERT.json,etl-m-dwh-lkp-movimiento-dp-insert-20260330-0122,2026-03-29T23:22:32.048Z,21m 55sec,,
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_LKP_RESTRICCION_UPDATE.json,etl-m-dwh-lkp-restriccion-update-20260330-0927,2026-03-30T07:27:59.378Z,21m 36sec,SUCCESS,
cluster-wf-load-info-10ffe88b-0500,_ETL_m_DWH_E_D_CONTRATO_GENERAL_SG_PPE.json,etl-m-dwh-e-d-contrato-general-sg-ppe-20260329-0605,2026-03-29T04:05:57.842Z,20m 56sec,,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_D_TARIF_COND_PART_TRAMO_INSERT.json,etl-m-dwh-d-tarif-cond-part-tramo-insert-20260330-0804,2026-03-30T06:04:46.190Z,20m 47sec,,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_RECIBOS_PM_INSERT.json,etl-m-dwh-d-recibos-pm-insert-20260330-0734,2026-03-30T05:35:44.269999Z,20m 22sec,,
comparator-wf-dwh-load-t-03-30,_ETL_m_DWH_D_NOTIFICACIONES_NHUB_INSERT.json,ETL_m_DWH_D_NOTIFICACIONES_NHUB_INSERT_comparator-20260330-1359,2026-03-30T11:59:18.140Z,20m 3sec,,
comparator-wf-dwh-load-t-01-15,_ETL_m_LOAD_MOD_COMENTARIOS_I.json,ETL_m_LOAD_MOD_COMENTARIOS_I_comparator-20260329-1734,2026-03-29T15:34:20.894Z,19m 25sec,,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_D_TITULARES_RDM_INSERT.json,etl-m-dwh-d-titulares-rdm-insert-20260330-0605,2026-03-30T04:06:18.910Z,19m 18sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_LKP_DETALLE_INCENTIVOS_INSERT.json,etl-m-dwh-lkp-detalle-incentivos-insert-20260329-0837,2026-03-29T06:37:26.523999Z,18m 34sec,,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_D_GVO_CONTRATO_EB_INSERT.json,etl-m-dwh-d-gvo-contrato-eb-insert-20260330-1112,2026-03-30T09:13:12.229Z,18m 15sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_MOVIMIENTOS_TJ.json,etl-m-dm-mod-movimientos-tj-20260330-0310,2026-03-30T01:10:39.634999Z,17m 35sec,SUCCESS,
