cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_54,n2d-highcpu-224,n2d,8,8,1792,1792,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_242,e2-highcpu-32,e2,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_27,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_272,e2-highcpu-32,e2,10,10,320,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_270,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_362,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_102,n2-highcpu-96,n2,30,30,2880,2880,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_21,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_217,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_360,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_72,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_223,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_105,e2-highcpu-32,e2,20,20,640,640,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_238,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_278,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_364,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_332,e2-highcpu-16,e2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_175,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_74,n2d-highcpu-224,n2d,13,13,2912,2912,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_324,e2-highcpu-32,e2,10,10,320,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_294,e2-highcpu-32,e2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_85,e2-highcpu-32,e2,13,13,416,416,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_342,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_302,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
