cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dwh-load-t-08-15-0815,wf_DWH_LOAD_T_08_15,31,20,e2-highcpu-32,e2-highcpu-32,69.02,32.4658,T_08_15_WM,09:15
cluster-wf-load-info-1e0fd893-0800,wf_LOAD_Infocentro_T_08_00,25,20,n2d-highcpu-48,n2d-highcpu-48,134.60,124.3689,T_08_00_SGR,09:00
cluster-wf-dwh-load-t-22-45-2245,wf_DWH_LOAD_T_22_45,48,18,n2-highcpu-48,n2-highcpu-48,79.36,72.3793,Timer_22_45,23:45
cluster-wf-load-info-ac79fee8-0400,wf_LOAD_Infocentro_T_04_00,47,18,n2d-highcpu-48,n2d-highcpu-48,86.21,72.0757,T_04_00_MJ,05:00
cluster-wf-load-info-0b0b02e5-0645,wf_LOAD_Infocentro_T_06_45,28,18,n2-highcpu-48,n2-highcpu-48,51.02,46.5268,T_06_45_ER,07:45
cluster-wf-dwh-load-t-22-30-2230,wf_DWH_LOAD_T_22_30,57,15,n2d-highcpu-48,n2d-highcpu-48,81.80,57.5903,Timer_22_30,23:30
cluster-wf-dwh-load-t-00-00-0000,wf_DWH_LOAD_T_00_00,17,15,n2-highcpu-48,n2-highcpu-48,36.26,27.8483,Timer_00_00,01:00
cluster-wf-load-info-986acbb7-0400,wf_LOAD_Infocentro_T_01_00__T_04_00,42,14,n2-highcpu-48,n2-highcpu-48,74.64,53.7439,T_04_00_AG,05:00
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,13,c4-highcpu-32,c4-highcpu-32,240.20,136.3067,T_07_30_MIS_TAC,08:30
cluster-wf-dwh-load-t-22-32-2232,wf_DWH_LOAD_T_22_32,23,13,e2-highcpu-32,e2-highcpu-32,33.86,10.6188,T_22_32,23:32
cluster-wf-dwh-load-t-06-30-0630,wf_DWH_LOAD_T_06_30,19,13,e2-highcpu-32,e2-highcpu-32,34.25,10.7413,Timer_6_30,07:30
cluster-wf-dwh-load-93e5fa9b-2330,wf_DWH_LOAD_T_21_09__T_23_30,18,13,c3-highcpu-44,c3-highcpu-44,27.02,19.4193,Timer_23_30,00:30
cluster-wf-dmr-load-t-08-00-0800,wf_DMR_LOAD_T_08_00,24,12,n2d-highcpu-48,n2d-highcpu-48,42.73,24.4393,T_08_00_PD_JCO,09:00
cluster-wf-dwh-load-t-21-01-2101,wf_DWH_LOAD_T_21_01,45,11,n2-highcpu-48,n2-highcpu-48,55.37,31.8936,T_21_01,22:01
cluster-wf-dwh-load-t-03-30-0330,wf_DWH_LOAD_T_03_30,34,11,e2-highcpu-32,e2-highcpu-32,34.33,9.2280,T_03_30_NHub,04:30
cluster-wf-load-info-6b956e1c-0330,wf_LOAD_Infocentro_T_03_30,32,11,e2-highcpu-32,e2-highcpu-32,47.99,12.8998,T_03_30_GB_Cartera,04:30
cluster-wf-dmr-load-t-05-35-0535,wf_DMR_LOAD_T_05_35,31,11,e2-highcpu-32,e2-highcpu-32,38.26,10.2831,T_05_35_JERARQUIAS,06:35
cluster-wf-load-info-f713283d-0615,wf_LOAD_Infocentro_T_06_15,14,11,n2-highcpu-48,n2-highcpu-48,75.32,43.3844,T_06_15_SE,07:15
cluster-wf-dmr-load-t-02-15-0215,wf_DMR_LOAD_T_02_15,56,10,n2d-highcpu-48,n2d-highcpu-48,165.21,79.9610,T_02_15_PM,03:15
cluster-wf-dwh-load-t-02-40-0240,wf_DWH_LOAD_T_02_40,37,9,n2-highcpu-48,n2-highcpu-48,59.94,28.7691,T_02_40_NTRK,03:40
cluster-wf-dmr-load-t-00-45-0045,wf_DMR_LOAD_T_00_45,18,9,n2d-highcpu-48,n2d-highcpu-48,19.54,8.5975,T_00_45_FP,01:45
cluster-wf-dwh-load-t-04-25-0425,wf_DWH_LOAD_T_04_25,15,9,n2-highcpu-48,n2-highcpu-48,28.74,13.7938,Timer_4_25_Operaciones,05:25
cluster-wf-dmr-load-t-23-50-2350,wf_DMR_LOAD_T_23_50,14,9,n2-highcpu-48,n2-highcpu-48,23.77,11.4081,T_23_50_FI,00:50
cluster-wf-dwh-load-20364070-0730,wf_DWH_LOAD_NMIS_T_07_30__T_06_00,21,8,n2-highcpu-48,n2-highcpu-48,111.64,48.2273,T_7_30,08:30
cluster-wf-load-info-dc8f22d4-main,wf_LOAD_Infocentro_Intradia,13,8,e2-highcpu-32,e2-highcpu-32,22.83,4.6030,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-01-00-0100,wf_DWH_LOAD_T_01_00,36,7,e2-highcpu-32,e2-highcpu-32,51.99,9.3168,T_01_00_GDPR,02:00
cluster-wf-dwh-load-4b53af6c-0400,wf_DWH_LOAD_T_04_00__T_04_20,11,7,e2-highcpu-32,e2-highcpu-32,14.65,2.6245,Timer_4_00_Contratos,05:00
cluster-wf-dmr-load-e338500b-2340,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,18,6,n2-highcpu-48,n2-highcpu-48,17.76,5.9679,T_23_40_UA,00:40
cluster-wf-dwh-load-t-06-50-0650,wf_DWH_LOAD_T_06_50,15,6,n2d-highcpu-48,n2d-highcpu-48,23.68,7.2922,Timer_06_50_CCAA,07:50
cluster-wf-carga-act-bfbe08c0-main,wf_Carga_ACTIVA_OUTPUT_Intraday,8,6,n2-highcpu-48,n2-highcpu-48,11.18,3.7555,ZERO_TIMER,00:00
cluster-wf-dwh-load-24b57cb2-0531,wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,24,5,e2-highcpu-32,e2-highcpu-32,34.16,4.5911,T_5_31,06:31
cluster-wf-dmr-load-t-01-50-0150,wf_DMR_LOAD_T_01_50,9,5,e2-highcpu-32,e2-highcpu-32,8.22,1.1049,T_01_50_VL,02:50
cluster-wf-dmr-load-t-02-10-0210,wf_DMR_LOAD_T_02_10,39,4,n2d-highcpu-48,n2d-highcpu-48,45.76,10.0675,T_02_10_SFMC,03:10
cluster-wf-dwh-load-t-05-25-0525,wf_DWH_LOAD_T_05_25,12,4,n2-highcpu-48,n2-highcpu-48,14.13,3.3910,T_05_25_FlexiPago,06:25
cluster-wf-dmr-load-t-08-25-0825,wf_DMR_LOAD_T_08_25,11,4,n2d-highcpu-48,n2d-highcpu-48,12.74,2.8034,T_08_25_TSD,09:25
cluster-wf-dmr-load-t-03-10-0310,wf_DMR_LOAD_T_03_10,9,4,e2-highcpu-32,e2-highcpu-32,7.20,0.8063,T_03_10_SE,04:10
cluster-wf-dwh-load-t-22-34-2234,wf_DWH_LOAD_T_22_34,6,4,e2-highcpu-32,e2-highcpu-32,5.66,0.6342,T_22_34,23:34
cluster-wf-dwh-load-t-02-15-0215,wf_DWH_LOAD_T_02_15,29,3,n2-highcpu-48,n2-highcpu-48,36.71,7.0487,T_02_15_Perfilados_MIFID,03:15
cluster-wf-dwh-load-t-21-04-2104,wf_DWH_LOAD_T_21_04,17,3,n2d-highcpu-48,n2d-highcpu-48,22.78,4.0097,T_21_04_CESOP_ALL_DL,22:04
cluster-wf-dmr-load-t-00-20-0020,wf_DMR_LOAD_T_00_20,16,3,n2-highcpu-48,n2-highcpu-48,13.07,2.5101,T_00_20_CG,01:20
cluster-wf-dmr-load-03d556e9-2315,wf_DMR_LOAD_T_09_00__T_23_15,11,3,n2-highcpu-48,n2-highcpu-48,9.49,1.8221,T_23_15_TIMELINES,00:15
cluster-wf-dmr-load-t-03-25-0325,wf_DMR_LOAD_T_03_25,11,3,n2d-highcpu-48,n2d-highcpu-48,9.16,1.6130,T_03_25_GR,04:25
cluster-wf-dwh-load-85f9116a-0430,wf_DWH_LOAD_NMIS_T_04_30,11,3,n2-highcpu-48,n2-highcpu-48,13.48,2.5891,T_4_30,05:30
cluster-wf-load-info-6c8abf4b-0130,wf_LOAD_Infocentro_T_01_30,11,3,n2-highcpu-48,n2-highcpu-48,10.60,2.0343,T_01_30_TG,02:30
cluster-wf-anonimizacion-load-main,wf_Anonimizacion_LOAD,10,3,n2d-highcpu-48,n2d-highcpu-48,10.32,1.8171,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-05-30-0530,wf_DWH_LOAD_T_05_30,8,3,e2-highcpu-32,e2-highcpu-32,7.54,0.6759,Timer_05_30,06:30
cluster-wf-dmr-load-t-22-00-2200,wf_DMR_LOAD_T_22_00,6,3,n2-highcpu-48,n2-highcpu-48,6.26,1.2022,T_22_00_TRC,23:00
cluster-wf-load-info-2c1ad100-0630,wf_LOAD_Infocentro_T_06_30,6,3,e2-highcpu-32,e2-highcpu-32,5.93,0.5316,T_06_30_BT,07:30
cluster-wf-dmr-load-t-08-20-0820,wf_DMR_LOAD_T_08_20,4,3,e2-highcpu-32,e2-highcpu-32,4.41,0.3952,T_08_20_TIZ,09:20
cluster-wf-dmr-load-t-23-00-2300,wf_DMR_LOAD_T_23_00,4,3,e2-highcpu-32,e2-highcpu-32,2.82,0.2531,T_23_00_CTRK,00:00
cluster-wf-dwh-load-t-04-30-0430,wf_DWH_LOAD_T_04_30,4,3,e2-highcpu-32,e2-highcpu-32,4.08,0.3655,T_04_30_APT,05:30
cluster-wf-dmr-load-t-02-45-0245,wf_DMR_LOAD_T_02_45,8,2,n2-highcpu-48,n2-highcpu-48,5.55,0.7990,T_02_45_CVCM,03:45
cluster-wf-load-act-99dee7a2-0530,UNKNOWN_DAG_ID,8,2,e2-highcpu-32,e2-highcpu-32,6.92,0.4652,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-22-05-2205,wf_DMR_LOAD_T_22_05,7,2,n2-highcpu-48,n2-highcpu-48,4.71,0.6782,T_22_05_TM,23:05
