cluster_name,peak_executors_seen
cluster-wf-dwh-load-940807f2-0435,6
comparator-general-ledger-5900-2-b,6
comparator-financial-assets-402-1a,6
comparator-general-ledger-5900-2-d,6
comparator-sfe-activa-cliente-2555,6
comparator-mis-590-2-b,6
comparator-fiscal-reporting-23080d,6
stg-to-ods-nextportfolio-28892-1,6
stg-to-ods-telephonic-banking-2304,6
stg-to-ods-tesoreria-22115-1-a,6
stg-to-ods-partner-data-4433-1-k,6
comparator-sfd-digital-signaturee,6
comparator-tf-imex-459-1-a,6
stg-to-ods-integrated-mailing-664a,6
comparator-integrated-mailing-6643,6
comparator-current-accounts-385-2f,6
comparator-compliance-money-laundf,6
stg-to-ods-telephonic-banking-2309,6
stg-to-ods-current-accounts-385-26,6
comparator-alerts-and-advices-sys1,6
stg-to-ods-payments-544-2-b,5
stg-to-ods-general-ledger-5900-2-d,5
stg-to-ods-payments-544-2-f,5
cluster-wf-dwh-load-t-05-25-0525,5
stg-to-ods-host-architecture-2209d,5
cluster-wf-dwh-load-t-22-30-2230,5
cluster-wf-dwh-load-t-21-15-2115,5
comparator-mis-590-2-c,5
comparator-mis-590-2-m,5
stg-to-ods-current-accounts-385-2f,5
comparator-mis-590-2-a,5
stg-to-ods-mis-590-2-l,5
comparator-cirbe-22112-1-c,4
stg-to-ods-db-sas-46485-3-c,4
comparator-adp-global-view-36267-1,4
cluster-wf-dmr-load-t-00-45-0045,4
comparator-safe-deposit-boxes-3518,4
cluster-wf-carga-inf-b681b46e-main,4
stg-to-ods-customer-engagement-16c,4
comparator-current-accounts-385-23,4
stg-to-ods-mis-590-2-o,4
cluster-wf-load-info-2c1ad100-0630,4
comparator-cirbe-22112-1-d,4
stg-to-ods-db-mailroutinghub-es-18,4
comparator-sfe-activa-cliente-2559,4
stg-to-ods-adp-global-view-36267-1,4
cluster-wf-dmr-load-t-08-20-0820,4
comparator-mis-590-2-h,4
comparator-exposure-risk-29832-1-a,4
comparator-operation-flow-managem1,4
comparator-reporting-ho-es-230947,4
comparator-general-tables-5898-1-a,4
comparator-payments-544-2-b,4
stg-to-ods-partner-data-4433-1-b,4
stg-to-ods-safe-deposit-boxes-3516,4
comparator-general-tables-5898-1-b,4
stg-to-ods-ldap-directory-servicec,4
cluster-wf-dwh-load-t-05-20-0520,4
comparator-contrack-35644-1,4
comparator-mis-590-2-e,4
cluster-wf-dmr-load-e338500b-2340,4
comparator-sfe-activa-cliente-255e,4
stg-to-ods-reporting-ho-es-23094f,4
comparator-insolvencies-system-63a,4
cluster-wf-dmr-load-t-08-25-0825,4
comparator-cirbe-22112-1-b,4
comparator-tesoreria-22115-1-b,4
cluster-wf-dmr-load-t-05-35-0535,4
stg-to-ods-host-architecture-22096,4
cluster-wf-dwh-load-t-21-06-2106,4
stg-to-ods-sfd-digital-signature2,4
comparator-mis-590-2-n,4
comparator-guarantees-confirmingd,4
cluster-wf-load-info-dc8f22d4-main,4
cluster-wf-dmr-load-t-22-00-2200,4
cluster-wf-load-info-6b956e1c-0330,4
cluster-wf-dwh-load-t-04-30-0430,4
comparator-db-record-keeping-es-12,4
cluster-wf-dwh-load-t-22-32-2232,4
comparator-current-accounts-385-2a,4
cluster-wf-cro-d-load-main,4
comparator-sg-insurances-and-pens7,4
stg-to-ods-general-tables-5898-1-c,4
comparator-partner-data-4433-1-c,4
cluster-wf-dmr-load-03d556e9-2315,4
comparator-collection-administ-unf,4
stg-to-ods-db-proposal-tool-es-106,4
comparator-ldap-directory-service8,4
comparator-general-ledger-5900-2-a,4
stg-to-ods-risk-data-base-es-29941,4
cluster-wf-dwh-load-93e5fa9b-2330,4
comparator-reporting-ho-es-230942,4
cluster-wf-load-info-96fe38cb-0200,4
cluster-wf-load-info-e36b4a33-0830,4
comparator-db-proposal-tool-es-10a,4
cluster-wf-dwh-load-4b53af6c-0400,4
stg-to-ods-warning-risk-47605-1-a,4
cluster-wf-dwh-load-t-05-15-0515,4
comparator-reporting-ho-es-230943,4
comparator-partner-data-4433-1-d,4
cluster-wf-dwh-load-t-03-30-0330,4
comparator-loans-and-leasing-527a,4
cluster-wf-dwh-load-t-02-40-0240,4
comparator-telephonic-banking-230f,4
comparator-partner-data-4433-1-e,4
cluster-wf-dwh-load-t-22-34-2234,4
stg-to-ods-integrated-mailing-6640,4
cluster-wf-load-info-6c8abf4b-0130,4
comparator-partner-data-4433-1-b,4
comparator-partner-data-4433-1-i,3
stg-to-ods-partner-data-4433-1-m,3
comparator-payments-544-2-f,3
comparator-partner-data-4433-1-m,3
cluster-wf-dmr-load-t-07-30-0730,3
comparator-tesoreria-22115-1-a,3
comparator-mis-590-2-g,3
comparator-sfe-activa-cliente-2550,3
comparator-host-architecture-22092,3
comparator-general-tables-5898-1-c,3
comparator-customer-engagement-169,3
comparator-mis-590-2-i,3
comparator-general-ledger-5900-2-c,3
comparator-fx-options-kaleidoscop3,3
cluster-wf-dwh-load-t-21-04-2104,3
comparator-sfe-activa-cliente-255b,3
cluster-wf-anonimizacion-load-main,3
cluster-wf-carga-ho-intraday-main,3
comparator-partner-data-4433-1-f,3
comparator-host-architecture-2209d,3
comparator-db-sas-46485-3-c,3
comparator-bpm-74674-1,3
comparator-db-sas-46485-3-d,3
comparator-multi-bank-aggregator3,3
comparator-host-architecture-22096,3
comparator-partner-data-4433-1-h,3
comparator-questionnaire-tool-1124,3
comparator-four-eyes-es-4552-1,3
comparator-db-sas-46485-3-e,3
cluster-wf-dwh-load-t-06-30-0630,3
comparator-sg-insurances-and-pens5,3
comparator-payments-544-2-a,3
comparator-mis-590-2-o,3
comparator-db-sas-46485-3-a,3
comparator-guarantees-confirming6,3
cluster-wf-dwh-load-t-22-33-2233,2
stg-to-ods-sfe-activa-cliente-2557,2
cluster-wf-dmr-load-t-01-50-0150,2
cluster-wf-dwh-load-t-05-30-0530,2
stg-to-ods-general-ledger-5900-2-c,2
stg-to-ods-mis-590-2-g,2
cluster-wf-dmr-load-t-02-45-0245,2
cluster-wf-load-act-99dee7a2-0000,2
stg-to-ods-sfe-activa-cliente-2555,2
stg-to-ods-partner-data-4433-1-c,2
cluster-wf-dwh-load-24b57cb2-0400,2
cluster-wf-dwh-load-t-13-00-1300,2
stg-to-ods-partner-data-4433-1-i,2
stg-to-ods-partner-data-4433-1-h,2
stg-to-ods-customer-engagement-16f,2
cluster-wf-dmr-load-t-02-00-0200,2
stg-to-ods-dwh-control-b,2
cluster-wf-dwh-load-t-01-00-0100,2
stg-to-ods-mis-590-2-i,2
stg-to-ods-partner-data-4433-1-f,2
cluster-wf-dmr-load-t-23-00-2300,2
cluster-wf-dwh-load-t-00-30-0030,2
stg-to-ods-loans-and-leasing-527a,2
cluster-wf-carga-act-bfbe08c0-main,2
cluster-wf-genera-re-3f8fe730-main,2
stg-to-ods-mis-590-2-h,2
cluster-wf-dmr-load-t-23-05-2305,2
cluster-wf-carga-con-7cc57cf7-main,2
cluster-wf-dmr-load-t-00-20-0020,2
stg-to-ods-mis-590-2-k,2
cluster-wf-dmr-load-e338500b-0035,2
stg-to-ods-four-eyes-es-4552-1,2
cluster-wf-dwh-load-85f9116a-0430,2
cluster-wf-dwh-load-24b57cb2-0530,2
stg-to-ods-partner-data-4433-1-g,2
stg-to-ods-mis-590-2-a,2
stg-to-ods-db-sas-46485-3-a,2
cluster-wf-dmr-load-t-08-30-0830,2
stg-to-ods-sfe-activa-cliente-2554,2
stg-to-ods-reporting-ho-es-23094b,2
cluster-wf-dmr-load-t-22-05-2205,2
stg-to-ods-reporting-ho-es-230948,2
stg-to-ods-db-sas-46485-3-d,2
stg-to-ods-sg-insurances-and-pensc,2
stg-to-ods-sfe-activa-cliente-255c,2
cluster-wf-dwh-load-24b57cb2-0531,2
cluster-wf-dwh-load-20364070-0730,2
cluster-wf-dmr-load-t-02-15-0215,2
stg-to-ods-exposure-risk-29832-1-a,2
cluster-wf-dmr-load-t-03-10-0310,2
cluster-wf-load-act-99dee7a2-0530,2
stg-to-ods-db-record-keeping-es-12,2
cluster-wf-dmr-load-t-00-30-0030,2
cluster-wf-dwh-load-t-02-15-0215,2
cluster-wf-dmr-load-t-03-25-0325,2
cluster-wf-anonimiza-636bf97f-main,2
stg-to-ods-cirbe-22112-1-a,2
stg-to-ods-multi-bank-aggregatord,2
stg-to-ods-sg-insurances-and-pens1,2
stg-to-ods-db-sas-46485-3-e,2
cluster-wf-dmr-load-t-02-10-0210,2
stg-to-ods-cirbe-22112-1-c,2
cluster-wf-carga-mov-58900747-main,
comparator-dwh-control-c,
stg-to-ods-dwh-control-c,
cluster-wf-dmr-load-425ff947-0130,
cluster-wf-load-act-t-04-00-0400,
cluster-wf-dmr-load-t-21-50-2150,
comparator-dwh-control-b,
stg-to-ods-cirbe-22112-1-d,
