cluster_name,recipe_filename,avg_executors_per_job
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_32.json,3.6259777751023745
comparator-mis-590-2-b,_ETL_m_ODS_DATCTRT.json,3.6112283722868295
comparator-sg-insurances-and-pens3,_ETL_m_ODS_TFO_02_HIST_OPER_PP.json,3.6006740144503957
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_RATING_INTEGRANTES.json,3.5784208193474463
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_F_MOVIMIENTOS_TJ_UPDATE.json,3.573399699173292
comparator-partner-data-4433-1-k,_ETL_m_ODS_LKP_RIESGO_CLIENTE.json,3.5211305008917897
stg-to-ods-card-processing-644-1-a,_ETL_m_ODS_TID11_EXTRAC.json,3.521089018759504
cluster-wf-dwh-load-t-00-00-0000,_ETL_m_DM_MOD_MOVIMIENTO_CVCM.json,3.4848257918907546
comparator-partner-data-4433-1-a,_ETL_m_ODS_TPW_69_RISK_PILLARS_CRRE.json,3.462368708686624
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_CONTRATOS_TARJETA.json,3.447313222898761
stg-to-ods-financial-assets-402-1c,_ETL_m_ODS_F_AF_COMPROMISOS_OPE.json,3.4425513305733473
stg-to-ods-partner-data-4433-1-a,_ETL_m_ODS_PW19_CLASE_CLIENTE.json,3.4333164467289903
stg-to-ods-db-sas-46485-3-b,_ETL_m_ODS_SPM_PIMG_NO_PD.json,3.4288723617037045
stg-to-ods-sg-insurances-and-pens4,_ETL_m_ODS_TSG_67.json,3.4205026204523867
stg-to-ods-mis-590-2-e,_ETL_m_STG_LKP_CLIENTE_MIS_D.json,3.420094271019581
comparator-card-processing-644-1-b,_ETL_m_ODS_TID_A8_BONIF_TARJETA.json,3.4197817812899896
stg-to-ods-partner-data-4433-1-d,_ETL_m_ODS_REL_CLIENTE_GESTOR.json,3.418596869089704
stg-to-ods-sg-insurances-and-pens4,_ETL_m_ODS_TFO_02_HIST_OPER_PP.json,3.4049015137881304
stg-to-ods-financial-agents-4550-2,_ETL_m_ODS_TAG10.json,3.4042202541205264
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_MOD_OPERACION_RC_M.json,3.3959444766803735
comparator-customer-engagement-165,_ETL_m_ODS_SFMC_POSTEVENT.json,3.3643336443888736
stg-to-ods-current-accounts-385-2c,_ETL_m_ODS_F_CVCM_CREDITOS.json,3.3020267443791855
