cluster_name,max_concurrent_jobs
stg-to-ods-sfe-activa-cliente-255c,3
comparator-collection-administ-unf,3
comparator-financial-assets-402-1a,3
comparator-risk-data-base-es-29948,3
stg-to-ods-cirbe-22112-1-b,3
stg-to-ods-sg-insurances-and-pensd,3
comparator-integrated-mailing-6643,3
stg-to-ods-odigo-contact-center-76,3
stg-to-ods-insolvencies-system-630,3
stg-to-ods-payments-544-2-b,3
comparator-fx-options-kaleidoscop3,3
stg-to-ods-current-accounts-385-2c,3
stg-to-ods-partner-data-4433-1-k,3
comparator-fixed-term-deposits-390,3
stg-to-ods-risk-data-base-es-2994a,3
comparator-mis-590-2-k,3
stg-to-ods-loans-and-leasing-5272,3
comparator-general-tables-5898-1-b,3
stg-to-ods-risk-data-base-es-2994b,3
cluster-wf-dwh-load-t-22-34-2234,3
comparator-db-mailroutinghub-es-1d,3
stg-to-ods-payments-544-2-e,3
comparator-financial-agents-4550-2,3
comparator-partner-data-4433-1-c,3
stg-to-ods-terms-and-fees-21701-13,3
comparator-payments-544-2-e,3
comparator-mis-590-2-m,3
stg-to-ods-financial-assets-402-11,3
comparator-risk-data-base-es-29944,3
stg-to-ods-fiscal-reporting-230809,3
comparator-exposure-risk-29832-1-b,3
comparator-sfe-activa-cliente-2555,3
stg-to-ods-partner-data-4433-1-m,3
comparator-sfe-activa-cliente-255e,3
stg-to-ods-partner-data-4433-1-a,3
stg-to-ods-financial-agents-4550-2,3
comparator-mis-590-2-o,3
stg-to-ods-questionnaire-tool-1123,3
stg-to-ods-operation-flow-managem9,3
stg-to-ods-investment-funds-411-2,3
comparator-investment-funds-411-2,3
stg-to-ods-exposure-risk-29832-1-b,3
stg-to-ods-odigo-contact-center-7c,3
stg-to-ods-payments-544-2-c,3
comparator-tf-imex-459-1-a,3
comparator-mis-590-2-f,3
comparator-partner-data-4433-1-m,3
comparator-mis-590-2-g,3
comparator-tesoreria-22115-1-b,3
comparator-wealth-manager-49067-1,3
comparator-payments-544-2-f,3
comparator-current-accounts-385-25,3
stg-to-ods-general-tables-5898-1-b,3
comparator-questionnaire-tool-1124,3
stg-to-ods-payments-544-2-a,3
comparator-exposure-risk-29832-1-a,3
stg-to-ods-db-record-keeping-es-12,3
comparator-payments-544-2-d,3
cluster-wf-dwh-load-24b57cb2-0400,3
stg-to-ods-mis-590-2-f,3
comparator-insolvencies-system-631,3
stg-to-ods-partner-data-4433-1-b,3
stg-to-ods-wealth-manager-49067-1,3
stg-to-ods-warning-risk-47605-1-a,3
comparator-insolvencies-system-63a,3
comparator-mis-590-2-e,3
comparator-contrack-35644-1,3
comparator-fiscal-reporting-23080d,3
stg-to-ods-exposure-risk-29832-1-a,3
stg-to-ods-mis-590-2-b,3
comparator-current-accounts-385-2f,3
stg-to-ods-card-processing-644-1-b,3
