job_id,cluster_name,recipe_filename,latest_driver_log_ts,latest_driver_log_severity,latest_driver_log_class,latest_driver_exception_type,is_lost_task,is_stack_overflow,is_java_heap,latest_driver_message,log_name
etl-m-dq3-ods-f-gr-garantia-20260413-0438,cluster-wf-dmr-load-t-03-25-0325,_ETL_m_DQ3_ODS_F_GR_GARANTIA.json,2026-04-13T03:05:14.961704Z,DEFAULT,,java.lang.OutOfMemoryError,false,false,true,"Exception in thread ""Spark Context Cleaner"" java.lang.OutOfMemoryError: Java heap space",projects/db-prd-rn63-pwcclake-es/logs/dataproc.job.driver
etl-m-dq3-ods-f-af-ope-mercado-20260413-0015,cluster-wf-dmr-load-t-23-05-2305,_ETL_m_DQ3_ODS_F_AF_OPE_MERCADO.json,2026-04-12T22:25:56.743818Z,DEFAULT,,java.lang.OutOfMemoryError,false,false,true,java.lang.OutOfMemoryError: Java heap space,projects/db-prd-rn63-pwcclake-es/logs/dataproc.job.driver
etl-m-dq3-ods-f-pm-propuestas-20260412-0340,cluster-wf-dmr-load-t-02-15-0215,_ETL_m_DQ3_ODS_F_PM_PROPUESTAS.json,2026-04-12T13:03:51.838979Z,DEFAULT,,java.lang.OutOfMemoryError,false,false,true,"Exception in thread ""main"" java.lang.OutOfMemoryError: Java heap space",projects/db-prd-rn63-pwcclake-es/logs/dataproc.job.driver
