cluster_name,recipe_filename,p95_job_duration_ms,avg_job_duration_ms,runs
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5794.json,3553469,797768.2857142857,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5898.json,3553459,759389.1428571428,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5881.json,3553131,824670.2857142857,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5892.json,3549822,765876.4285714285,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5817.json,3520337,762879.1428571428,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5878.json,3518492,798187.2857142857,7
cluster-wf_spark_29,_SPARK_JOB_recipe_filename_5886.json,3518095,824132.4285714286,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_3486.json,3510397,1850931.5,6
cluster-wf_spark_16,_SPARK_JOB_recipe_filename_1038.json,3509108,1764141.8,5
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4425.json,3490612,713221.7142857144,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4429.json,3453514,722846.8571428573,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4435.json,3453346,736075.2857142858,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4476.json,3445957,738689.8571428572,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4456.json,3445456,710366.0000000001,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4315.json,3436170,754552.2857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4432.json,3432087,732005.857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4438.json,3429096,705277,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4465.json,3427846,723483.8571428572,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4382.json,3426089,745212.7142857142,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4358.json,3422623,725139.4285714286,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4379.json,3420742,712200.7142857143,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4376.json,3418905,706472.8571428573,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4447.json,3418679,791157.1666666667,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4289.json,3413497,752071.5,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4348.json,3410748,719142.0000000001,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4412.json,3403996,714125.2857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4399.json,3398678,721248.2857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4285.json,3396502,700633.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3178.json,3351704,762897.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3243.json,3337064,725444.142857143,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3253.json,3335308,691774.142857143,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3248.json,3333506,763745,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3252.json,3322429,691254.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3265.json,3318266,877185.8333333334,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3279.json,3312297,743104.5,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3232.json,3281002,742076.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3251.json,3278908,900112.8,5
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3187.json,3257796,789134.8333333333,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3254.json,3243055,743473.8333333334,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_646.json,3236223,1106230.5,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_637.json,3236065,1178660,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_670.json,3236007,1116115.75,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_587.json,3235958,1018062.75,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3266.json,3233774,832959.3333333333,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_687.json,3232299,1053847,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3272.json,3226695,806259.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3273.json,3226018,825162.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3275.json,3225446,754200.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3274.json,3221897,868976.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3177.json,3220620,807979.1666666667,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3233.json,3220249,787480.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_633.json,3213671,984506.75,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_1024.json,3212249,1170001.5,4
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_1064.json,3201455,1020315.5000000001,4
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_154.json,3134680,846069.857142857,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_151.json,3133712,944732.5,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_6029.json,3113191,1258575.4285714284,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_144.json,3080576,852010.4285714286,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_122.json,3079349,776566.5714285714,7
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_145.json,3078660,933067.2857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4420.json,3074818,706585.5714285714,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4331.json,3060095,769818.4285714286,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4413.json,3049488,651199.1428571427,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4495.json,3046433,678659.4285714285,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4330.json,3045822,709965.2857142857,7
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4349.json,3041122,720707.6666666667,6
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4485.json,3039889,758737.857142857,7
