cluster_name,total_jobs
cluster-wf_spark_256,36
cluster-wf_spark_97,36
cluster-wf_spark_117,36
cluster-wf_spark_70,35
cluster-wf_spark_309,35
cluster-wf_spark_6,35
cluster-wf_spark_303,35
cluster-wf_spark_322,35
cluster-wf_spark_19,35
cluster-wf_spark_253,35
cluster-wf_spark_138,35
cluster-wf_spark_175,35
cluster-wf_spark_223,35
cluster-wf_spark_352,35
cluster-wf_spark_44,35
cluster-wf_spark_194,35
cluster-wf_spark_125,35
cluster-wf_spark_178,35
cluster-wf_spark_306,35
cluster-wf_spark_266,35
cluster-wf_spark_181,35
cluster-wf_spark_274,35
cluster-wf_spark_47,35
cluster-wf_spark_146,33
cluster-wf_spark_114,28
cluster-wf_spark_200,28
cluster-wf_spark_328,28
cluster-wf_spark_340,28
cluster-wf_spark_156,28
cluster-wf_spark_212,28
cluster-wf_spark_184,28
cluster-wf_spark_186,28
cluster-wf_spark_169,28
cluster-wf_spark_4,28
cluster-wf_spark_67,28
cluster-wf_spark_1,28
cluster-wf_spark_296,28
cluster-wf_spark_123,28
cluster-wf_spark_314,28
cluster-wf_spark_313,28
cluster-wf_spark_185,28
cluster-wf_spark_312,28
cluster-wf_spark_298,28
cluster-wf_spark_189,28
cluster-wf_spark_38,26
cluster-wf_spark_22,25
cluster-wf_spark_241,24
cluster-wf_spark_317,24
cluster-wf_spark_284,24
cluster-wf_spark_250,24
cluster-wf_spark_51,24
cluster-wf_spark_136,21
cluster-wf_spark_40,21
cluster-wf_spark_327,21
cluster-wf_spark_264,21
cluster-wf_spark_199,21
cluster-wf_spark_254,21
cluster-wf_spark_208,21
cluster-wf_spark_90,21
cluster-wf_spark_46,20
cluster-wf_spark_78,20
cluster-wf_spark_92,18
cluster-wf_spark_126,18
cluster-wf_spark_336,18
cluster-wf_spark_50,18
cluster-wf_spark_8,14
cluster-wf_spark_128,14
cluster-wf_spark_329,14
cluster-wf_spark_235,14
cluster-wf_spark_142,14
cluster-wf_spark_350,14
cluster-wf_spark_249,14
cluster-wf_spark_354,14
cluster-wf_spark_59,14
cluster-wf_spark_360,14
cluster-wf_spark_297,14
cluster-wf_spark_259,14
cluster-wf_spark_267,14
cluster-wf_spark_285,14
cluster-wf_spark_363,14
cluster-wf_spark_139,14
cluster-wf_spark_305,14
cluster-wf_spark_157,14
cluster-wf_spark_242,14
cluster-wf_spark_281,14
cluster-wf_spark_270,14
cluster-wf_spark_111,14
cluster-wf_spark_365,14
cluster-wf_spark_231,14
cluster-wf_spark_330,14
cluster-wf_spark_359,14
cluster-wf_spark_221,14
cluster-wf_spark_201,14
cluster-wf_spark_202,14
cluster-wf_spark_153,12
cluster-wf_spark_229,12
cluster-wf_spark_224,12
cluster-wf_spark_122,12
cluster-wf_spark_177,12
cluster-wf_spark_115,10
cluster-wf_spark_2,10
cluster-wf_spark_318,7
cluster-wf_spark_265,7
cluster-wf_spark_286,7
cluster-wf_spark_294,7
cluster-wf_spark_247,7
cluster-wf_spark_358,7
cluster-wf_spark_346,7
cluster-wf_spark_137,7
cluster-wf_spark_158,7
cluster-wf_spark_183,7
cluster-wf_spark_216,7
cluster-wf_spark_203,7
cluster-wf_spark_204,7
cluster-wf_spark_217,7
cluster-wf_spark_89,7
cluster-wf_spark_293,7
cluster-wf_spark_347,7
cluster-wf_spark_345,7
cluster-wf_spark_257,7
cluster-wf_spark_300,7
cluster-wf_spark_311,7
cluster-wf_spark_331,7
cluster-wf_spark_190,7
cluster-wf_spark_332,7
cluster-wf_spark_165,6
cluster-wf_spark_271,6
cluster-wf_spark_278,6
cluster-wf_spark_130,6
cluster-wf_spark_172,6
cluster-wf_spark_263,6
cluster-wf_spark_230,6
cluster-wf_spark_167,6
cluster-wf_spark_13,6
cluster-wf_spark_135,6
cluster-wf_spark_120,5
cluster-wf_spark_42,5
cluster-wf_spark_150,5
cluster-wf_spark_143,5
cluster-wf_spark_7,4
cluster-wf_spark_11,3
