cluster_name,recipe_filename,avg_job_duration_ms
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DM_LKP_IDIOMA.json,1053847
stg-to-ods-partner-data-4433-1-j,_ETL_m_ODS_F_PD_CLIENTES.json,1051083.1666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_SEXO.json,1021278.857142857
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DM_LKP_TIPO_DIR_TELCO_NEW.json,1020315.5000000001
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_PLANPROD_CONT.json,1018572.7142857143
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DM_LKP_ENTIDADES.json,1018062.7500000001
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_TIPO_GARANTIA_PERSONAL_UPDATE.json,1012995.6666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_PAIS_BE_INSERT.json,1010106
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_VINC_DB.json,1004544.5714285716
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_FINAN_PROYECTO.json,1004517.1666666667
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_CENTROS_UPDATE.json,1003436.25
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_DETALLE_TRANS_SECURE_PAY.json,1002499.6666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_PAIS.json,999851
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_EVENTO_TRANSACCION.json,998400.1666666667
stg-to-ods-securities-valors-409e,_ETL_m_ODS_F_VA_MOVIMIENTOS.json,996045
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOTIVO_DESBLOQUEO_INSERT.json,988327.2857142857
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_ESQUEMA_AMORTIZ.json,985939.5000000001
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DM_LKP_FAMILIA_CONTABLE.json,984506.75
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_RESULTADO_TRANSACCION.json,981531
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_DIEL_FILTROS.json,979102.6666666667
stg-to-ods-loans-and-leasing-5272,_ETL_m_ODS_PM_20.json,978850
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_CIR_FIN_OPERACION.json,975132.4285714288
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_FAMILIA_CONTABLE_UPDATE.json,969518.857142857
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_DETALLE_RESULTADO_SECURE_PAY.json,963942.8333333333
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_POBLACIONES.json,961626.8
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_FORMA_SOCIAL.json,958845.3333333333
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOTIVO_DESBLOQUEO_UPDATE.json,955188
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOT_NOTIF_ELEC_UPDATE.json,947256.5
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOT_RIESGO_LOCAL_INSERT.json,945785.1428571428
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CTA_6.json,944732.5
stg-to-ods-payments-544-2-e,_ETL_m_ODS_TEX40_INTRADIA.json,943129.7142857143
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_ESTADO_CONTRATO_N2.json,942528.5
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_CATEGORIA_FATCA_UPDATE.json,940345.3333333333
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_FORMA_LEGAL.json,938214.6666666667
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_DM_LKP_SECURE_PAY.json,935835.3333333333
