cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_F_COMERCIOS_ESTADISTIC_PAR.json,etl-m-dwh-f-comercios-estadistic-par-20260330-0213,2026-03-30T00:14:14.318Z,33m 40sec,FAILURE,"Exception message: writeResultAndErrors failed: Unable to provision, see the following errors:

1) [Guice/ErrorInCustomProvider]: IllegalArgumentException: BigQueryConnectorException$InvalidSchemaException: Destination table's schema is not compatible with dataframe's schema. Number of source fields: 63 is larger than number of destination fields: 62
  at BigQueryDataSourceWriterModule.provideDirectDataSourceWriterContext(BigQueryDataSourceWriterModule.java:63)
  while locating BigQueryDirectDataSourceWriterContext

Learn more:
  https://github.com/google/guice/wiki/ERROR_IN_CUSTOM_PROVIDER

1 error

======================
Full classname legend:
======================
BigQueryConnectorException$InvalidSchemaException: ""com.google.cloud.bigquery.connector.common.BigQueryConnectorException$InvalidSchemaException""
BigQueryDataSourceWriterModule:                    ""com.google.cloud.spark.bigquery.write.context.BigQueryDataSourceWriterModule""
BigQueryDirectDataSourceWriterContext:             ""com.google.cloud.spark.bigquery.write.context.BigQueryDirectDataSourceWriterContext""
========================
End of classname legend:
========================
"
cluster-wf-dmr-load-t-02-15-0215,_ETL_m_DQ3_ODS_F_PM_CABE_OPE.json,etl-m-dq3-ods-f-pm-cabe-ope-20260330-0341,2026-03-30T01:42:08.132999Z,33m 32sec,FAILURE,Exception message: writeResultAndErrors failed: Primary key columns must be provided.
cluster-wf-dwh-load-t-06-50-0650,_ETL_m_DWH_E_MOD_NOTIFICACIONES_CCA_GCP.json,etl-m-dwh-e-mod-notificaciones-cca-gcp-20260330-0803,2026-03-30T06:03:46.470999Z,32m 25sec,FAILURE,"Exception message: writeResultAndErrors failed: Unable to provision, see the following errors:

1) [Guice/ErrorInCustomProvider]: IllegalArgumentException: BigQueryConnectorException$InvalidSchemaException: Destination table's schema is not compatible with dataframe's schema. Incompatible type for field: FCH_ENVIO_NOTIF, cannot write source type: DATETIME to destination type: TIMESTAMP
  at BigQueryDataSourceWriterModule.provideDirectDataSourceWriterContext(BigQueryDataSourceWriterModule.java:63)
  while locating BigQueryDirectDataSourceWriterContext

Learn more:
  https://github.com/google/guice/wiki/ERROR_IN_CUSTOM_PROVIDER

1 error

======================
Full classname legend:
======================
BigQueryConnectorException$InvalidSchemaException: ""com.google.cloud.bigquery.connector.common.BigQueryConnectorException$InvalidSchemaException""
BigQueryDataSourceWriterModule:                    ""com.google.cloud.spark.bigquery.write.context.BigQueryDataSourceWriterModule""
BigQueryDirectDataSourceWriterContext:             ""com.google.cloud.spark.bigquery.write.context.BigQueryDirectDataSourceWriterContext""
========================
End of classname legend:
========================
"
comparator-a-wf-dwh-load-t-04-00c,_ETL_m_LOAD_MOD_CONTRATOS_MIS.json,ETL_m_LOAD_MOD_CONTRATOS_MIS_comparator-20260330-1627,2026-03-30T14:27:33.269Z,31m 41sec,,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_D_LOTE_EB_UPDATE.json,etl-m-dwh-d-lote-eb-update-20260330-0720,2026-03-30T05:20:59.710Z,31m 37sec,,
comparator-wf-dwh-load-t-08-15,_ETL_m_DWH_LKP_RESTRICCION_INSERT.json,ETL_m_DWH_LKP_RESTRICCION_INSERT_comparator-20260330-1306,2026-03-30T11:06:21.611999Z,30m 39sec,,
comparator-a-wf-dwh-load-t-04-00c,_ETL_m_LOAD_DWH_MOD_CONTRATOS_IK.json,ETL_m_LOAD_DWH_MOD_CONTRATOS_IK_comparator-20260330-1509,2026-03-30T13:09:56.713Z,29m 33sec,,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_VA.json,etl-m-dwh-e-mod-cliente-movimiento-va-20260330-0706,2026-03-30T05:06:17.635999Z,29m 1sec,,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_MOD_COND_TARJETA_INSERT_GCP.json,etl-m-dwh-mod-cond-tarjeta-insert-gcp-20260330-0218,2026-03-30T00:18:44.842Z,28m 10sec,,
comparator-wf-dwh-load-t-01-15,_ETL_m_LOAD_MOD_DOCUMENTOS_I.json,ETL_m_LOAD_MOD_DOCUMENTOS_I_comparator-20260329-1736,2026-03-29T15:36:26.819999Z,27m 24sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_F_MOVIMIENTOS_TJ_UPDATE.json,etl-m-dwh-f-movimientos-tj-update-20260330-0212,2026-03-30T00:12:47.177Z,25m 16sec,SUCCESS,
comparator-a-wf-dwh-load-t-04-00c,_ETL_m_DWH_F_MAESTRA_CONTRATOS_UBR.json,ETL_m_DWH_F_MAESTRA_CONTRATOS_UBR_comparator-20260330-1440,2026-03-30T12:40:27.953Z,24m 15sec,,
cluster-wf-dmr-load-t-23-50-2350,_ETL_m_DWH_LKP_MOVIMIENTO_DP_INSERT.json,etl-m-dwh-lkp-movimiento-dp-insert-20260330-0122,2026-03-29T23:22:32.048Z,21m 55sec,,
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_LKP_RESTRICCION_UPDATE.json,etl-m-dwh-lkp-restriccion-update-20260330-0927,2026-03-30T07:27:59.378Z,21m 36sec,SUCCESS,
cluster-wf-load-info-10ffe88b-0500,_ETL_m_DWH_E_D_CONTRATO_GENERAL_SG_PPE.json,etl-m-dwh-e-d-contrato-general-sg-ppe-20260329-0605,2026-03-29T04:05:57.842Z,20m 56sec,,
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_D_TARIF_COND_PART_TRAMO_INSERT.json,etl-m-dwh-d-tarif-cond-part-tramo-insert-20260330-0804,2026-03-30T06:04:46.190Z,20m 47sec,,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_RECIBOS_PM_INSERT.json,etl-m-dwh-d-recibos-pm-insert-20260330-0734,2026-03-30T05:35:44.269999Z,20m 22sec,,
comparator-wf-dwh-load-t-03-30,_ETL_m_DWH_D_NOTIFICACIONES_NHUB_INSERT.json,ETL_m_DWH_D_NOTIFICACIONES_NHUB_INSERT_comparator-20260330-1359,2026-03-30T11:59:18.140Z,20m 3sec,,
cluster-wf-dmr-load-t-22-25-2225,_ETL_m_DWH_EEMM_ACTIVO_ADJUDICADO_UPDATE.json,etl-m-dwh-eemm-activo-adjudicado-update-20260329-2334,2026-03-29T21:34:28.135999Z,19m 55sec,FAILURE,"Exception message: writeResultAndErrors failed: unexpected issue trying to save [ID_ACTIVO_ADJUDICADO: bigint, FCH_ALTA: bigint ... 71 more fields]"
cluster-wf-dmr-load-t-03-25-0325,_ETL_m_DQ3_ODS_F_GR_GARANTIA.json,etl-m-dq3-ods-f-gr-garantia-20260330-0434,2026-03-30T02:34:47.607Z,19m 49sec,,
comparator-wf-dwh-load-t-01-15,_ETL_m_LOAD_MOD_COMENTARIOS_I.json,ETL_m_LOAD_MOD_COMENTARIOS_I_comparator-20260329-1734,2026-03-29T15:34:20.894Z,19m 25sec,,
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_DWH_D_TITULARES_RDM_INSERT.json,etl-m-dwh-d-titulares-rdm-insert-20260330-0605,2026-03-30T04:06:18.910Z,19m 18sec,,
cluster-wf-load-info-dbf4b473-0635,_ETL_m_DWH_F_TRANSF_EXTRANJ_ISO20022_UPDATE.json,etl-m-dwh-f-transf-extranj-iso20022-update-20260330-0753,2026-03-30T05:53:11.292Z,18m 45sec,SUCCESS,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_LKP_DETALLE_INCENTIVOS_INSERT.json,etl-m-dwh-lkp-detalle-incentivos-insert-20260329-0837,2026-03-29T06:37:26.523999Z,18m 34sec,,
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_D_GVO_CONTRATO_EB_INSERT.json,etl-m-dwh-d-gvo-contrato-eb-insert-20260330-1112,2026-03-30T09:13:12.229Z,18m 15sec,,
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_MOVIMIENTOS_TJ.json,etl-m-dm-mod-movimientos-tj-20260330-0310,2026-03-30T01:10:39.634999Z,17m 35sec,SUCCESS,
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_FI_O.json,etl-m-dwh-e-mod-ordenes-cliente-fi-o-20260330-0613,2026-03-30T04:13:51.861Z,17m 24sec,,
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_D_MOVIMIENTOS_PM_DELETED_GCP.json,etl-m-dwh-d-movimientos-pm-deleted-gcp-20260330-0514,2026-03-30T03:15:21.042999Z,17m 16sec,,
cluster-wf-dmr-load-t-01-50-0150,_ETL_m_DQ3_ODS_F_VA_EMISION.json,etl-m-dq3-ods-f-va-emision-20260330-0200,2026-03-30T00:00:08.762Z,17m 9sec,,
