cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
stg-to-ods-partner-data-4433-1-j,_ETL_m_ODS_F_PD_CLIENTES.json,10,9.6,6
stg-to-ods-card-processing-644-1-b,_ETL_m_ODS_TID12.json,10,8.5,6
stg-to-ods-partner-data-4433-1-j,_ETL_m_ODS_F_PD_RATINGS.json,10,8.2,6
stg-to-ods-electronic-banking-4840,_ETL_m_ODS_TEB_01_CONTRATO.json,10,5.166666666666667,6
stg-to-ods-partner-data-4433-1-l,_ETL_m_ODS_TPW_65_MD_GLOBAL_RIESGOS.json,10,7.2,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_32.json,10,8.75,6
stg-to-ods-expert-assistant-feed4,_ETL_m_ODS_TUA_40_DOCUMENTOS.json,10,7.5,6
stg-to-ods-investment-funds-411-2,_ETL_m_ODS_TFO_29_TRASPASOS.json,10,9,6
stg-to-ods-sg-insurances-and-pensd,_ETL_m_ODS_TSG_17_MOVIMIENTOS_PE.json,10,7.5,6
stg-to-ods-current-accounts-385-20,_ETL_m_ODS_KW_770T_CUENTAS.json,10,8.166666666666666,6
comparator-sg-insurances-and-pens3,_ETL_m_ODS_TSG_67.json,10,7.333333333333334,6
stg-to-ods-current-accounts-385-2c,_ETL_m_ODS_CVCM_TLQ_06_LIQUIDACIONES.json,10,7,6
cluster-wf-dmr-load-t-03-00-0300,_ETL_m_DWH_E_F_GENERAL_UBR_D.json,10,6.666666666666666,5
comparator-risk-data-base-es-29944,_ETL_m_ODS_RC_05_FR_OPER.json,10,10,5
cluster-wf-dmr-load-t-05-00-0500,_ETL_m_DWH_D_ACT_SM_DYN_FIELD_VALUES.json,10,5.5,5
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DM_LKP_TARIF_COND_PART_TRAMO.json,10,8.25,5
stg-to-ods-loans-and-leasing-5272,_ETL_m_ODS_SR_02_SIMULACION.json,10,8,4
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_INTEGRANTES_INF_CUALI.json,9,6.714285714285714,7
comparator-current-accounts-385-25,_ETL_m_ODS_KW_111T_MOV_CUENTAS.json,9,6.714285714285714,7
comparator-partner-data-4433-1-a,_ETL_m_ODS_TPW_69_RISK_PILLARS_CRRE.json,9,6.142857142857143,7
stg-to-ods-partner-data-4433-1-a,_ETL_m_ODS_TPW71_GPID.json,9,6.2,7
cluster-wf-dwh-load-t-00-00-0000,_ETL_m_DM_MOD_MOVIMIENTO_CVCM.json,9,6.142857142857143,7
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_CONTRATOS.json,9,6.857142857142857,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX51.json,9,6.4,7
stg-to-ods-card-processing-644-1-c,_ETL_m_STG_LKP_TARJETAS_INFILE.json,9,7.428571428571429,7
