cluster_name,recipe_filename,avg_executors_per_job,p95_run_max_executors,avg_job_duration_ms,p95_job_duration_ms,runs,seconds_at_cap,runs_reaching_cap,total_runs,fraction_reaching_cap,max_concurrent_jobs
cluster-wf-cro-rc-load-main,_ETL_m_DM_LKP_CONTROL.json,0.08245254024474803,1,280426.1666666666,363377,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_LKP_DIA.json,0.11259154309115686,1,275680.1666666666,368832,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_CONTRATO_RC_D.json,1.5099938314797923,8,836767.6666666666,1371543,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_CONTR_LTV_RC_D.json,0.14520188341627432,1,349248.1666666667,421561,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_CONTR_LTV_RC_M.json,0.16816952510736927,2,357214.8333333334,509842,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_GARANTIA_RC_D.json,0.39149845584753656,3,462800.5,595881,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_GARANTIA_RC_M.json,0.5561863314539774,4,477499.3333333333,754858,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_OPERACION_RC_D.json,0.11313533374157993,2,333259.1666666667,426747,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_D_CONTROL_INSERT.json,0.24074074074074076,2,55353.333333333336,63065,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_D_CONTROL_UPDATE.json,0.3472546728971963,2,155408,304380,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_D_DIA_INSERT.json,0.3472732843137255,2,54891.5,64472,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_D_DIA_UPDATE.json,0.08190174804098854,2,221005.5,316567,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_CONTRATO_RC_D.json,2.1563082894922294,8,517084,611055,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_CONTR_LTV_RC_D.json,0.2105221312875787,3,261692,336725,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_CONTR_LTV_RC_M.json,0.14796551498922345,4,236232.33333333334,305389,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_COUNTERPARTY_CONTR_RC_D.json,0.22084328142512982,2,231136,289929,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_COUNTERPARTY_RC_D.json,0.2938739748590635,4,285458.8333333334,351271,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_GARANTIAS_RC_D.json,0.4535201431391992,4,282288.3333333334,392608,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_GARANTIAS_RC_M_PAR.json,0.9009634750958181,7,308723.5,367517,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_DWH_F_OPERACION_RC_D_PAR.json,0.060561660561660555,2,197590.8333333333,280484,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_D_CONTRATOS_NUEVOS_D_INSERT.json,0.20238095238095236,2,53591,61239,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_D_CONTROL.json,0.14743225222455728,1,288640.1666666667,355054,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_D_DIA.json,0.10261369994574877,1,300061.6666666667,386640,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_CONTRATO_RC_D.json,1.8507255021899138,8,906745.6666666666,1328904,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_CONTR_LTV_RC_D.json,0.17295795090517885,2,375629,503132,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_CONTR_LTV_RC_M.json,0.2774012052640924,2,328737.3333333334,511265,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_COUNTERPARTY_CONTR_RC_D.json,0.0891096367571937,1,234154.6666666667,333598,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_COUNTERPARTY_RC_D.json,0.5101486479820421,2,468154.8333333333,621553,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_GARANTIAS_RC_D.json,0.6586578643899319,3,471728.5,682685,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_GARANTIAS_RC_M.json,0.6616213869603189,4,538061.8333333333,656581,6,,,,,18
cluster-wf-cro-rc-load-main,_ETL_m_RDM_F_OPERACION_RC_D_PAR.json,0.25902284323650027,2,368635.8333333334,442747,6,,,,,18
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DQ3_ODS_D_CRES_TEMPORALIDAD.json,0.08,2,37619.57142857143,50066,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DQ3_ODS_D_MIS_TEMPORALIDAD.json,0.13852813852813853,2,35968.42857142857,47217,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DQ3_ODS_D_REPORT.json,0.4031112444977991,2,42476.28571428572,51667,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DQ3_ODS_D_REPORT_INPUT.json,0.12714285714285714,2,41621.571428571435,50623,7,,,,,4
cluster-wf-dmr-load-03d556e9-2315,_ETL_m_DWH_D_REPORT_DELETE.json,0.212987012987013,2,53454.857142857145,57466,7,,,,,4
