cluster_name,recipe_filename,peak_job_duration_ms
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4438.json,3429096
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4465.json,3427846
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4382.json,3426089
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4358.json,3422623
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4379.json,3420742
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4376.json,3418905
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4447.json,3418679
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4289.json,3413497
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4348.json,3410748
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4412.json,3403996
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4399.json,3398678
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4285.json,3396502
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3178.json,3351704
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3243.json,3337064
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3253.json,3335308
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3248.json,3333506
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3252.json,3322429
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3265.json,3318266
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3279.json,3312297
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3232.json,3281002
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3251.json,3278908
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3187.json,3257796
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3254.json,3243055
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_646.json,3236223
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_637.json,3236065
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_670.json,3236007
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_587.json,3235958
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3266.json,3233774
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_687.json,3232299
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3272.json,3226695
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3273.json,3226018
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3275.json,3225446
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3274.json,3221897
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3177.json,3220620
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3233.json,3220249
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_633.json,3213671
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_1024.json,3212249
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_1064.json,3201455
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_154.json,3134680
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_151.json,3133712
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_6029.json,3113191
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_144.json,3080576
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_122.json,3079349
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_145.json,3078660
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4420.json,3074818
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4331.json,3060095
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4413.json,3049488
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4495.json,3046433
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4330.json,3045822
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4349.json,3041122
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4485.json,3039889
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_148.json,3021441
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4430.json,3004627
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4436.json,3002675
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4477.json,2990418
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4457.json,2982731
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4439.json,2975433
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4316.json,2973029
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4383.json,2970230
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4473.json,2968968
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_157.json,2928658
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_162.json,2892970
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_140.json,2881776
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_163.json,2881231
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_165.json,2880130
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_176.json,2878601
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_158.json,2877621
cluster-wf_spark_64,_SPARK_JOB_recipe_filename_3929.json,2871284
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4357.json,2819070
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4446.json,2813177
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4284.json,2806640
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4314.json,2804850
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4381.json,2801169
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4464.json,2795088
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4288.json,2794732
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4428.json,2793315
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4424.json,2792473
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4375.json,2788574
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4398.json,2786914
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4431.json,2785897
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4434.json,2785452
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4083.json,2770763
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4347.json,2768104
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4482.json,2767965
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_4411.json,2767473
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4077.json,2766702
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4028.json,2760652
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4073.json,2753007
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4082.json,2752231
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4044.json,2751171
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4046.json,2745916
cluster-wf_spark_339,_SPARK_JOB_recipe_filename_5626.json,2711783
cluster-wf_spark_102,_SPARK_JOB_recipe_filename_2409.json,2692476
cluster-wf_spark_312,_SPARK_JOB_recipe_filename_5084.json,2671989
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4039.json,2670098
cluster-wf_spark_102,_SPARK_JOB_recipe_filename_5839.json,2649781
cluster-wf_spark_74,_SPARK_JOB_recipe_filename_1101.json,2611261
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2034.json,2588489
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4043.json,2577497
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4050.json,2568449
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4027.json,2567015
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3992.json,2562793
