cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_156,UNKNOWN_DAG_ID,4,6,e2-highcpu-32,e2-highcpu-32,11.74,1.8409,ZERO_TIMER,00:00
cluster-wf_spark_368,UNKNOWN_DAG_ID,18,4,e2-highcpu-32,e2-highcpu-32,16.27,1.8217,ZERO_TIMER,00:00
cluster-wf_spark_292,UNKNOWN_DAG_ID,13,4,e2-highcpu-32,e2-highcpu-32,16.10,1.8037,ZERO_TIMER,00:00
cluster-wf_spark_334,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,10.80,1.6929,ZERO_TIMER,00:00
cluster-wf_spark_262,UNKNOWN_DAG_ID,12,4,e2-highcpu-32,e2-highcpu-32,14.89,1.6672,ZERO_TIMER,00:00
cluster-wf_spark_323,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,10.40,1.6304,ZERO_TIMER,00:00
cluster-wf_spark_170,UNKNOWN_DAG_ID,5,6,e2-highcpu-32,e2-highcpu-32,10.39,1.6295,ZERO_TIMER,00:00
cluster-wf_spark_55,UNKNOWN_DAG_ID,9,5,e2-highcpu-32,e2-highcpu-32,11.63,1.5632,ZERO_TIMER,00:00
cluster-wf_spark_243,UNKNOWN_DAG_ID,10,6,e2-highcpu-32,e2-highcpu-32,9.95,1.5601,ZERO_TIMER,00:00
cluster-wf_spark_320,UNKNOWN_DAG_ID,6,6,e2-highcpu-32,e2-highcpu-32,9.93,1.5576,ZERO_TIMER,00:00
cluster-wf_spark_279,UNKNOWN_DAG_ID,8,6,e2-highcpu-32,e2-highcpu-32,9.19,1.4410,ZERO_TIMER,00:00
cluster-wf_spark_99,UNKNOWN_DAG_ID,11,5,e2-highcpu-32,e2-highcpu-32,10.60,1.4240,ZERO_TIMER,00:00
cluster-wf_spark_343,UNKNOWN_DAG_ID,12,6,e2-highcpu-32,e2-highcpu-32,9.08,1.4232,ZERO_TIMER,00:00
cluster-wf_spark_248,UNKNOWN_DAG_ID,8,6,e2-highcpu-32,e2-highcpu-32,9.07,1.4216,ZERO_TIMER,00:00
cluster-wf_spark_337,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,8.98,1.4075,ZERO_TIMER,00:00
cluster-wf_spark_121,UNKNOWN_DAG_ID,8,4,e2-highcpu-32,e2-highcpu-32,12.29,1.3769,ZERO_TIMER,00:00
cluster-wf_spark_18,UNKNOWN_DAG_ID,12,5,e2-highcpu-32,e2-highcpu-32,10.24,1.3758,ZERO_TIMER,00:00
cluster-wf_spark_138,UNKNOWN_DAG_ID,4,6,e2-highcpu-32,e2-highcpu-32,8.56,1.3425,ZERO_TIMER,00:00
cluster-wf_spark_305,UNKNOWN_DAG_ID,2,5,e2-highcpu-32,e2-highcpu-32,9.93,1.3351,ZERO_TIMER,00:00
cluster-wf_spark_155,UNKNOWN_DAG_ID,11,4,e2-highcpu-32,e2-highcpu-32,11.70,1.3108,ZERO_TIMER,00:00
cluster-wf_spark_160,UNKNOWN_DAG_ID,13,4,e2-highcpu-32,e2-highcpu-32,11.42,1.2792,ZERO_TIMER,00:00
cluster-wf_spark_10,UNKNOWN_DAG_ID,11,5,e2-highcpu-32,e2-highcpu-32,9.49,1.2755,ZERO_TIMER,00:00
cluster-wf_spark_260,UNKNOWN_DAG_ID,10,4,e2-highcpu-32,e2-highcpu-32,11.21,1.2551,ZERO_TIMER,00:00
cluster-wf_spark_283,UNKNOWN_DAG_ID,7,6,e2-highcpu-32,e2-highcpu-32,7.88,1.2352,ZERO_TIMER,00:00
cluster-wf_spark_185,UNKNOWN_DAG_ID,3,6,e2-highcpu-32,e2-highcpu-32,7.56,1.1861,ZERO_TIMER,00:00
cluster-wf_spark_127,UNKNOWN_DAG_ID,10,4,e2-highcpu-32,e2-highcpu-32,10.49,1.1752,ZERO_TIMER,00:00
cluster-wf_spark_21,UNKNOWN_DAG_ID,8,6,e2-highcpu-32,e2-highcpu-32,7.49,1.1737,ZERO_TIMER,00:00
cluster-wf_spark_186,UNKNOWN_DAG_ID,3,8,e2-highcpu-32,e2-highcpu-32,5.76,1.1607,ZERO_TIMER,00:00
cluster-wf_spark_28,UNKNOWN_DAG_ID,10,5,e2-highcpu-32,e2-highcpu-32,8.40,1.1284,ZERO_TIMER,00:00
cluster-wf_spark_284,UNKNOWN_DAG_ID,4,5,e2-highcpu-32,e2-highcpu-32,8.34,1.1205,ZERO_TIMER,00:00
cluster-wf_spark_195,UNKNOWN_DAG_ID,7,4,e2-highcpu-32,e2-highcpu-32,9.79,1.0962,ZERO_TIMER,00:00
cluster-wf_spark_253,UNKNOWN_DAG_ID,5,6,e2-highcpu-32,e2-highcpu-32,6.95,1.0903,ZERO_TIMER,00:00
cluster-wf_spark_126,UNKNOWN_DAG_ID,2,6,e2-highcpu-32,e2-highcpu-32,6.91,1.0831,ZERO_TIMER,00:00
cluster-wf_spark_242,UNKNOWN_DAG_ID,2,7,e2-highcpu-32,e2-highcpu-32,6.02,1.0796,ZERO_TIMER,00:00
cluster-wf_spark_325,UNKNOWN_DAG_ID,9,4,e2-highcpu-32,e2-highcpu-32,9.14,1.0234,ZERO_TIMER,00:00
cluster-wf_spark_115,UNKNOWN_DAG_ID,2,4,e2-highcpu-32,e2-highcpu-32,8.96,1.0036,ZERO_TIMER,00:00
cluster-wf_spark_177,UNKNOWN_DAG_ID,2,4,e2-highcpu-32,e2-highcpu-32,8.94,1.0016,ZERO_TIMER,00:00
cluster-wf_spark_363,UNKNOWN_DAG_ID,2,4,n2-highcpu-32,n2-highcpu-32,6.25,0.9997,ZERO_TIMER,00:00
cluster-wf_spark_210,UNKNOWN_DAG_ID,6,4,e2-highcpu-32,e2-highcpu-32,8.55,0.9574,ZERO_TIMER,00:00
cluster-wf_spark_338,UNKNOWN_DAG_ID,6,5,e2-highcpu-32,e2-highcpu-32,7.11,0.9560,ZERO_TIMER,00:00
cluster-wf_spark_254,UNKNOWN_DAG_ID,3,6,e2-highcpu-32,e2-highcpu-32,5.98,0.9370,ZERO_TIMER,00:00
cluster-wf_spark_178,UNKNOWN_DAG_ID,5,6,e2-highcpu-32,e2-highcpu-32,5.84,0.9150,ZERO_TIMER,00:00
cluster-wf_spark_236,UNKNOWN_DAG_ID,6,4,e2-highcpu-32,e2-highcpu-32,8.06,0.9022,ZERO_TIMER,00:00
cluster-wf_spark_215,UNKNOWN_DAG_ID,11,3,e2-highcpu-32,e2-highcpu-32,9.85,0.8821,ZERO_TIMER,00:00
cluster-wf_spark_166,UNKNOWN_DAG_ID,12,3,e2-highcpu-32,e2-highcpu-32,9.82,0.8802,ZERO_TIMER,00:00
cluster-wf_spark_154,UNKNOWN_DAG_ID,12,3,e2-highcpu-32,e2-highcpu-32,9.78,0.8760,ZERO_TIMER,00:00
cluster-wf_spark_278,UNKNOWN_DAG_ID,1,3,e2-highcpu-32,e2-highcpu-32,9.77,0.8750,ZERO_TIMER,00:00
cluster-wf_spark_214,UNKNOWN_DAG_ID,12,3,e2-highcpu-32,e2-highcpu-32,9.56,0.8567,ZERO_TIMER,00:00
cluster-wf_spark_43,UNKNOWN_DAG_ID,6,5,e2-highcpu-32,e2-highcpu-32,6.26,0.8415,ZERO_TIMER,00:00
cluster-wf_spark_310,UNKNOWN_DAG_ID,21,2,e2-highcpu-32,e2-highcpu-32,12.41,0.8342,ZERO_TIMER,00:00
cluster-wf_spark_223,UNKNOWN_DAG_ID,4,6,e2-highcpu-32,e2-highcpu-32,5.29,0.8292,ZERO_TIMER,00:00
cluster-wf_spark_2,UNKNOWN_DAG_ID,5,5,e2-highcpu-32,e2-highcpu-32,6.14,0.8258,ZERO_TIMER,00:00
cluster-wf_spark_352,UNKNOWN_DAG_ID,5,4,e2-highcpu-32,e2-highcpu-32,6.98,0.7820,ZERO_TIMER,00:00
cluster-wf_spark_298,UNKNOWN_DAG_ID,4,4,e2-highcpu-32,e2-highcpu-32,6.86,0.7682,ZERO_TIMER,00:00
cluster-wf_spark_27,UNKNOWN_DAG_ID,7,5,e2-highcpu-32,e2-highcpu-32,5.51,0.7408,ZERO_TIMER,00:00
cluster-wf_spark_198,UNKNOWN_DAG_ID,9,4,e2-highcpu-32,e2-highcpu-32,6.45,0.7227,ZERO_TIMER,00:00
