MACHINE_TYPE, ESTIMATED_MAX_NO_OF_WORKERS, ESTIMATED_MAX_NO_OF_CORES, REAL_MAX_NO_OF_WORKERS, REAL_MAX_NO_OF_CORES, CLUSTERS_LIST
e2-highcpu-32,1595,51040,1761,56352,cluster-wf-anonimiza-636bf97f-main;cluster-wf-anonimizacion-load-main;cluster-wf-carga-act-bfbe08c0-main;cluster-wf-carga-con-7cc57cf7-main;cluster-wf-carga-ho-intraday-main;cluster-wf-carga-inf-b681b46e-main;cluster-wf-carga-mov-58900747-main;cluster-wf-cro-d-load-main;cluster-wf-dmr-load-03d556e9-2315;cluster-wf-dmr-load-425ff947-0425;cluster-wf-dmr-load-e338500b-0100;cluster-wf-dmr-load-e338500b-2208;cluster-wf-dmr-load-e338500b-2340;cluster-wf-dmr-load-t-00-20-0020;cluster-wf-dmr-load-t-00-30-0030;cluster-wf-dmr-load-t-02-00-0200;cluster-wf-dmr-load-t-02-10-0210;cluster-wf-dmr-load-t-02-15-0215;cluster-wf-dmr-load-t-02-45-0245;cluster-wf-dmr-load-t-03-25-0325;cluster-wf-dmr-load-t-04-35-0435;cluster-wf-dmr-load-t-07-00-0700;cluster-wf-dmr-load-t-07-30-0730;cluster-wf-dmr-load-t-08-00-0800;cluster-wf-dmr-load-t-08-25-0825;cluster-wf-dmr-load-t-21-50-2150;cluster-wf-dmr-load-t-22-00-2200;cluster-wf-dmr-load-t-22-25-2225;cluster-wf-dwh-load-24b57cb2-0400;cluster-wf-dwh-load-24b57cb2-0530;cluster-wf-dwh-load-85f9116a-0430;cluster-wf-dwh-load-t-01-00-0100;cluster-wf-dwh-load-t-02-15-0215;cluster-wf-dwh-load-t-02-40-0240;cluster-wf-dwh-load-t-04-30-0430;cluster-wf-dwh-load-t-05-15-0515;cluster-wf-dwh-load-t-05-30-0530;cluster-wf-dwh-load-t-06-50-0650;cluster-wf-dwh-load-t-13-00-1300;cluster-wf-dwh-load-t-21-04-2104;cluster-wf-dwh-load-t-22-32-2232;cluster-wf-load-act-99dee7a2-0000;cluster-wf-load-act-99dee7a2-0530;cluster-wf-load-info-0b0b02e5-0645;cluster-wf-load-info-10ffe88b-0500;cluster-wf-load-info-25f3c2ad-0000;cluster-wf-load-info-2c1ad100-0630;cluster-wf-load-info-6b956e1c-0330;cluster-wf-load-info-6c8abf4b-0130;cluster-wf-load-info-79279de3-0740;cluster-wf-load-info-7e158412-0345;cluster-wf-load-info-986acbb7-0100;cluster-wf-load-info-c9c4d332-0530;cluster-wf-load-info-e36b4a33-0830;comparator-card-processing-644-1-b;comparator-card-processing-644-1-c;comparator-cirbe-22112-1-c;comparator-contrack-35644-1;comparator-current-accounts-385-2f;comparator-customer-engagement-165;comparator-db-mailroutinghub-es-1d;comparator-db-proposal-tool-es-10a;comparator-db-sas-46485-3-b;comparator-db-sas-46485-3-c;comparator-electronic-banking-4845;comparator-expert-assistant-feed9;comparator-exposure-risk-29832-1-a;comparator-financial-assets-402-1d;comparator-fixed-term-deposits-390;comparator-four-eyes-es-4552-1;comparator-general-ledger-5900-2-c;comparator-general-ledger-5900-2-d;comparator-guarantees-confirmingd;comparator-ldap-directory-service8;comparator-loans-and-leasing-527a;comparator-mis-590-2-a;comparator-mis-590-2-c;comparator-mis-590-2-f;comparator-mis-590-2-h;comparator-mis-590-2-l;comparator-mis-590-2-n;comparator-multi-bank-aggregator3;comparator-notification-hub-50369c;comparator-odigo-contact-center-7d;comparator-partner-data-4433-1-a;comparator-partner-data-4433-1-d;comparator-partner-data-4433-1-e;comparator-partner-data-4433-1-f;comparator-partner-data-4433-1-h;comparator-partner-data-4433-1-i;comparator-partner-data-4433-1-j;comparator-partner-data-4433-1-k;comparator-partner-data-4433-1-l;comparator-reporting-ho-es-230942;comparator-reporting-ho-es-230943;comparator-reporting-ho-es-230947;comparator-risk-data-base-es-29948;comparator-sfe-activa-cliente-2550;comparator-sfe-activa-cliente-2555;comparator-sfe-activa-cliente-2559;comparator-sg-insurances-and-pens3;comparator-sg-insurances-and-pens5;comparator-sg-insurances-and-pens7;comparator-tesoreria-22115-1-a;comparator-warning-risk-47605-1-a;comparator-wealth-manager-49067-1;stg-to-ods-adp-global-view-36267-1;stg-to-ods-alerts-and-advices-sys7;stg-to-ods-bpm-74674-1;stg-to-ods-card-processing-644-1-b;stg-to-ods-card-processing-644-1-c;stg-to-ods-cirbe-22112-1-a;stg-to-ods-cirbe-22112-1-c;stg-to-ods-collateral-system-2550c;stg-to-ods-current-accounts-385-26;stg-to-ods-current-accounts-385-2c;stg-to-ods-customer-engagement-16f;stg-to-ods-db-proposal-tool-es-106;stg-to-ods-db-record-keeping-es-12;stg-to-ods-db-sas-46485-3-d;stg-to-ods-db-sas-46485-3-e;stg-to-ods-dwh-control-b;stg-to-ods-dwh-control-c;stg-to-ods-electronic-banking-4840;stg-to-ods-exposure-risk-29832-1-a;stg-to-ods-exposure-risk-29832-1-b;stg-to-ods-four-eyes-es-4552-1;stg-to-ods-general-ledger-5900-2-c;stg-to-ods-general-ledger-5900-2-d;stg-to-ods-general-tables-5898-1-b;stg-to-ods-host-architecture-2209d;stg-to-ods-host-architecture-2209f;stg-to-ods-insolvencies-system-63d;stg-to-ods-ldap-directory-servicec;stg-to-ods-loans-and-leasing-5272;stg-to-ods-loans-and-leasing-527a;stg-to-ods-mis-590-2-a;stg-to-ods-mis-590-2-c;stg-to-ods-mis-590-2-e;stg-to-ods-mis-590-2-g;stg-to-ods-mis-590-2-h;stg-to-ods-mis-590-2-j;stg-to-ods-mis-590-2-k;stg-to-ods-mis-590-2-m;stg-to-ods-mis-590-2-o;stg-to-ods-multi-bank-aggregatord;stg-to-ods-nextportfolio-28892-1;stg-to-ods-notification-hub-503696;stg-to-ods-odigo-contact-center-76;stg-to-ods-odigo-contact-center-7c;stg-to-ods-partner-data-4433-1-b;stg-to-ods-partner-data-4433-1-c;stg-to-ods-partner-data-4433-1-e;stg-to-ods-partner-data-4433-1-f;stg-to-ods-partner-data-4433-1-g;stg-to-ods-partner-data-4433-1-h;stg-to-ods-payments-544-2-a;stg-to-ods-payments-544-2-f;stg-to-ods-questionnaire-tool-1123;stg-to-ods-reporting-ho-es-230948;stg-to-ods-reporting-ho-es-23094f;stg-to-ods-risk-data-base-es-2994a;stg-to-ods-safe-deposit-boxes-3516;stg-to-ods-sfe-activa-cliente-2554;stg-to-ods-sfe-activa-cliente-2555;stg-to-ods-sfe-activa-cliente-2557;stg-to-ods-sfe-activa-cliente-255c;stg-to-ods-sg-insurances-and-pens1;stg-to-ods-sg-insurances-and-pens4;stg-to-ods-sg-insurances-and-pensc;stg-to-ods-sg-insurances-and-pensd;stg-to-ods-telephonic-banking-2304;stg-to-ods-telephonic-banking-2309;stg-to-ods-tesoreria-22115-1-a
n2-highcpu-48,1014,48672,1094,52512,cluster-wf-dmr-load-e338500b-0300;cluster-wf-dmr-load-t-00-45-0045;cluster-wf-dmr-load-t-03-00-0300;cluster-wf-dmr-load-t-03-45-0345;cluster-wf-dmr-load-t-05-35-0535;cluster-wf-dmr-load-t-06-00-0600;cluster-wf-dmr-load-t-06-15-0615;cluster-wf-dmr-load-t-23-05-2305;cluster-wf-dwh-load-20364070-0730;cluster-wf-dwh-load-24b57cb2-0531;cluster-wf-dwh-load-4b53af6c-0400;cluster-wf-dwh-load-93e5fa9b-2330;cluster-wf-dwh-load-940807f2-0435;cluster-wf-dwh-load-t-00-00-0000;cluster-wf-dwh-load-t-01-15-0115;cluster-wf-dwh-load-t-03-00-0300;cluster-wf-dwh-load-t-03-30-0330;cluster-wf-dwh-load-t-05-00-0500;cluster-wf-dwh-load-t-05-20-0520;cluster-wf-dwh-load-t-05-25-0525;cluster-wf-dwh-load-t-06-00-0600;cluster-wf-dwh-load-t-21-15-2115;cluster-wf-dwh-load-t-22-30-2230;cluster-wf-dwh-load-t-22-31-2231;cluster-wf-dwh-load-t-22-33-2233;cluster-wf-dwh-load-t-22-45-2245;cluster-wf-load-info-986acbb7-0400;cluster-wf-load-info-b44fa215-0520;cluster-wf-load-info-dc8f22d4-main;cluster-wf-load-info-f713283d-0615;comparator-adp-global-view-36267-1;comparator-alerts-and-advices-sys1;comparator-cirbe-22112-1-b;comparator-collection-administ-unf;comparator-compliance-money-laundf;comparator-current-accounts-385-23;comparator-current-accounts-385-25;comparator-customer-engagement-169;comparator-db-sas-46485-3-e;comparator-exposure-risk-29832-1-b;comparator-financial-agents-4550-2;comparator-fiscal-reporting-23080d;comparator-fx-options-kaleidoscop3;comparator-general-ledger-5900-2-a;comparator-general-ledger-5900-2-b;comparator-general-tables-5898-1-a;comparator-general-tables-5898-1-b;comparator-general-tables-5898-1-c;comparator-guarantees-confirming6;comparator-host-architecture-22096;comparator-insolvencies-system-631;comparator-integrated-mailing-6643;comparator-investment-funds-411-2;comparator-loans-and-leasing-5272;comparator-mis-590-2-b;comparator-mis-590-2-d;comparator-mis-590-2-k;comparator-mis-590-2-m;comparator-mis-590-2-o;comparator-nextportfolio-28892-1;comparator-odigo-contact-center-78;comparator-partner-data-4433-1-b;comparator-payments-544-2-a;comparator-payments-544-2-b;comparator-payments-544-2-c;comparator-payments-544-2-d;comparator-payments-544-2-e;comparator-payments-544-2-f;comparator-risk-data-base-es-29944;comparator-safe-deposit-boxes-3518;comparator-securities-valors-4090;comparator-sfd-digital-signaturee;comparator-sfe-activa-cliente-255b;comparator-sfe-activa-cliente-255e;comparator-tesoreria-22115-1-b;stg-to-ods-card-processing-644-1-a;stg-to-ods-collateral-system-2550f;stg-to-ods-collection-administ-unf;stg-to-ods-compliance-money-launde;stg-to-ods-current-accounts-385-20;stg-to-ods-current-accounts-385-2f;stg-to-ods-db-mailroutinghub-es-18;stg-to-ods-db-sas-46485-3-b;stg-to-ods-db-sas-46485-3-c;stg-to-ods-expert-assistant-feed4;stg-to-ods-financial-assets-402-11;stg-to-ods-financial-assets-402-1c;stg-to-ods-fiscal-reporting-230809;stg-to-ods-fixed-term-deposits-396;stg-to-ods-general-ledger-5900-2-b;stg-to-ods-general-tables-5898-1-c;stg-to-ods-guarantees-confirming2;stg-to-ods-guarantees-confirming6;stg-to-ods-integrated-mailing-6640;stg-to-ods-integrated-mailing-664a;stg-to-ods-mis-590-2-d;stg-to-ods-mis-590-2-l;stg-to-ods-mis-590-2-n;stg-to-ods-partner-data-4433-1-a;stg-to-ods-partner-data-4433-1-d;stg-to-ods-partner-data-4433-1-m;stg-to-ods-payments-544-2-c;stg-to-ods-payments-544-2-d;stg-to-ods-payments-544-2-e;stg-to-ods-securities-valors-409e;stg-to-ods-sfd-digital-signature2;stg-to-ods-tesoreria-22115-1-b;stg-to-ods-warning-risk-47605-1-a;stg-to-ods-wealth-manager-49067-1
n2d-highcpu-48,618,29664,665,31920,cluster-wf-cro-rc-load-main;cluster-wf-dmr-load-e338500b-0035;cluster-wf-dmr-load-t-01-50-0150;cluster-wf-dmr-load-t-03-10-0310;cluster-wf-dmr-load-t-08-20-0820;cluster-wf-dmr-load-t-21-30-2130;cluster-wf-dmr-load-t-22-05-2205;cluster-wf-dmr-load-t-23-00-2300;cluster-wf-dmr-load-t-23-50-2350;cluster-wf-dwh-load-4b53af6c-0420;cluster-wf-dwh-load-t-05-50-0550;cluster-wf-dwh-load-t-06-30-0630;cluster-wf-dwh-load-t-08-15-0815;cluster-wf-dwh-load-t-21-01-2101;cluster-wf-dwh-load-t-21-06-2106;cluster-wf-dwh-load-t-22-34-2234;cluster-wf-load-info-1e0fd893-0800;cluster-wf-load-info-83c7f70d-0730;cluster-wf-load-info-96fe38cb-0200;cluster-wf-load-info-ac79fee8-0400;cluster-wf-load-info-dbf4b473-0635;cluster-wf-load-pulse-main;comparator-bpm-74674-1;comparator-card-processing-644-1-a;comparator-cirbe-22112-1-a;comparator-cirbe-22112-1-d;comparator-collateral-system-25509;comparator-db-record-keeping-es-12;comparator-db-sas-46485-3-d;comparator-financial-assets-402-1a;comparator-guarantees-confirming7;comparator-insolvencies-system-63a;comparator-mis-590-2-e;comparator-mis-590-2-g;comparator-mis-590-2-j;comparator-operation-flow-managem1;comparator-partner-data-4433-1-c;comparator-partner-data-4433-1-g;comparator-partner-data-4433-1-m;comparator-questionnaire-tool-1124;comparator-sg-insurances-and-pens9;comparator-telephonic-banking-230f;comparator-terms-and-fees-21701-1a;comparator-tf-imex-459-1-a;stg-to-ods-cirbe-22112-1-b;stg-to-ods-contrack-35644-1;stg-to-ods-customer-engagement-16c;stg-to-ods-financial-agents-4550-2;stg-to-ods-fx-options-kaleidoscop7;stg-to-ods-general-ledger-5900-2-a;stg-to-ods-guarantees-confirming9;stg-to-ods-host-architecture-22096;stg-to-ods-insolvencies-system-630;stg-to-ods-investment-funds-411-2;stg-to-ods-mis-590-2-b;stg-to-ods-mis-590-2-f;stg-to-ods-operation-flow-managem9;stg-to-ods-partner-data-4433-1-j;stg-to-ods-partner-data-4433-1-k;stg-to-ods-partner-data-4433-1-l;stg-to-ods-payments-544-2-b;stg-to-ods-risk-data-base-es-2994b;stg-to-ods-sfe-activa-cliente-2556;stg-to-ods-terms-and-fees-21701-13;stg-to-ods-tf-imex-459-1-a
n2-highcpu-32,28,896,56,1792,cluster-wf-dmr-load-425ff947-0130;cluster-wf-dmr-load-t-08-30-0830;cluster-wf-dwh-load-t-00-30-0030;cluster-wf-genera-re-3f8fe730-main;cluster-wf-load-act-t-04-00-0400;comparator-current-accounts-385-2a;comparator-db-sas-46485-3-a;comparator-host-architecture-22092;comparator-host-architecture-2209d;comparator-mis-590-2-i;loans-and-leasing-527-1;stg-to-ods-cirbe-22112-1-d;stg-to-ods-mis-590-2-i;stg-to-ods-risk-data-base-es-29941
c3-highcpu-44,12,528,12,528,cluster-wf-dwh-load-t-04-25-0425
c4-highcpu-32,13,416,13,416,cluster-wf-dmr-load-t-05-00-0500
n2d-highcpu-32,10,320,20,640,comparator-dwh-control-b;comparator-dwh-control-c;stg-to-ods-db-sas-46485-3-a;stg-to-ods-partner-data-4433-1-i;stg-to-ods-reporting-ho-es-23094b
