cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
stg-to-ods-general-ledger-5900-2-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-cirbe-22112-1-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-22-34-2234,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-sfe-activa-cliente-255e,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-c,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-exposure-risk-29832-1-a,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-general-tables-5898-1-b,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-mis-590-2-h,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-warning-risk-47605-1-a,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-customer-engagement-16c,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-b,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-alerts-and-advices-sys1,n2-highcpu-48,n2,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
comparator-sfe-activa-cliente-2559,e2-highcpu-32,e2,4,4,128,128,default,cost_performance_balance,8cx1GBpc,""
comparator-operation-flow-managem1,n2d-highcpu-48,n2d,3,4,144,192,default,cost_performance_balance,8cx1GBpc,""
