cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
comparator-card-processing-644-1-a,UNKNOWN_DAG_ID,6,9,n2d-standard-32,n2d-standard-32,17.32,6.1893,ZERO_TIMER,00:00
comparator-card-processing-644-1-b,UNKNOWN_DAG_ID,42,9,e2-standard-32,e2-standard-32,51.87,13.9436,ZERO_TIMER,00:00
comparator-electronic-banking-4845,UNKNOWN_DAG_ID,29,9,e2-standard-32,e2-standard-32,94.14,25.3051,ZERO_TIMER,00:00
comparator-exposure-risk-29832-1-b,UNKNOWN_DAG_ID,13,9,n2d-standard-32,n2d-standard-32,57.73,20.6281,ZERO_TIMER,00:00
comparator-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,9,n2d-standard-32,n2d-standard-32,120.45,43.0419,ZERO_TIMER,00:00
comparator-mis-590-2-l,UNKNOWN_DAG_ID,4,9,e2-standard-32,e2-standard-32,7.04,1.8921,ZERO_TIMER,00:00
comparator-odigo-contact-center-7d,UNKNOWN_DAG_ID,5,9,e2-standard-32,e2-standard-32,19.82,5.3268,ZERO_TIMER,00:00
comparator-partner-data-4433-1-l,UNKNOWN_DAG_ID,21,9,e2-standard-32,e2-standard-32,65.65,17.6459,ZERO_TIMER,00:00
comparator-payments-544-2-c,UNKNOWN_DAG_ID,54,9,e2-standard-32,e2-standard-32,74.40,20.0000,ZERO_TIMER,00:00
comparator-payments-544-2-d,UNKNOWN_DAG_ID,4,9,e2-standard-32,e2-standard-32,17.13,4.6041,ZERO_TIMER,00:00
comparator-risk-data-base-es-29948,UNKNOWN_DAG_ID,10,9,n2d-standard-32,n2d-standard-32,35.99,12.8618,ZERO_TIMER,00:00
comparator-securities-valors-4090,UNKNOWN_DAG_ID,19,9,e2-standard-32,e2-standard-32,52.28,14.0532,ZERO_TIMER,00:00
comparator-warning-risk-47605-1-a,UNKNOWN_DAG_ID,18,9,e2-standard-32,e2-standard-32,35.28,9.4839,ZERO_TIMER,00:00
stg-to-ods-collateral-system-2550c,UNKNOWN_DAG_ID,18,9,n2-standard-32,n2-standard-32,35.80,13.9398,ZERO_TIMER,00:00
stg-to-ods-db-sas-46485-3-b,UNKNOWN_DAG_ID,5,9,n2-standard-32,n2-standard-32,13.12,5.1076,ZERO_TIMER,00:00
stg-to-ods-fx-options-kaleidoscop7,UNKNOWN_DAG_ID,12,9,e2-standard-32,e2-standard-32,13.52,3.6341,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming6,UNKNOWN_DAG_ID,14,9,e2-standard-32,e2-standard-32,22.84,6.1395,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming9,UNKNOWN_DAG_ID,13,9,e2-standard-32,e2-standard-32,24.52,6.5904,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-b,UNKNOWN_DAG_ID,58,9,n2d-standard-32,n2d-standard-32,72.02,25.7335,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-d,UNKNOWN_DAG_ID,5,9,e2-standard-32,e2-standard-32,25.33,6.8077,ZERO_TIMER,00:00
