cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_147,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_209,n2d-standard-32,n2d,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_329,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_92,n2-highcpu-8,n2,2,4,16,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_3,e2-standard-32,e2,12,12,384,384,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_142,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_296,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_69,n2d-standard-32,n2d,37,37,1184,1184,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_300,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_291,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_7,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_299,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_132,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_125,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_91,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_58,e2-standard-32,e2,29,29,928,928,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_315,n2-standard-32,n2,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_280,n2-standard-32,n2,12,12,384,384,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_339,n2-standard-32,n2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_114,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_143,n2d-highcpu-8,n2d,2,4,16,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_349,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_84,n2d-standard-32,n2d,76,76,2432,2432,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_350,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_366,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_326,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
