cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf_spark_38,UNKNOWN_DAG_ID,4,3,n2-standard-32,n2-standard-32,4.41,0.6870,ZERO_TIMER,00:00
cluster-wf_spark_125,UNKNOWN_DAG_ID,5,5,n2-standard-32,n2-standard-32,4.13,0.9644,ZERO_TIMER,00:00
cluster-wf_spark_67,UNKNOWN_DAG_ID,4,3,n2-standard-32,n2-standard-32,4.08,0.6352,ZERO_TIMER,00:00
cluster-wf_spark_114,UNKNOWN_DAG_ID,4,5,e2-standard-32,e2-standard-32,3.86,0.6226,ZERO_TIMER,00:00
cluster-wf_spark_336,UNKNOWN_DAG_ID,3,4,n2-standard-32,n2-standard-32,3.81,0.7409,ZERO_TIMER,00:00
cluster-wf_spark_259,UNKNOWN_DAG_ID,2,4,e2-standard-32,e2-standard-32,3.76,0.5058,ZERO_TIMER,00:00
cluster-wf_spark_317,UNKNOWN_DAG_ID,4,3,n2-standard-32,n2-standard-32,3.73,0.5803,ZERO_TIMER,00:00
cluster-wf_spark_189,UNKNOWN_DAG_ID,4,4,e2-standard-32,e2-standard-32,3.70,0.4974,ZERO_TIMER,00:00
cluster-wf_spark_1,UNKNOWN_DAG_ID,4,2,e2-highcpu-32,e2-highcpu-32,3.58,0.2404,ZERO_TIMER,00:00
cluster-wf_spark_314,UNKNOWN_DAG_ID,4,4,n2d-standard-32,n2d-standard-32,3.52,0.6287,ZERO_TIMER,00:00
cluster-wf_spark_6,UNKNOWN_DAG_ID,5,2,e2-highcpu-32,e2-highcpu-32,3.49,0.2344,ZERO_TIMER,00:00
cluster-wf_spark_128,UNKNOWN_DAG_ID,2,3,n2d-standard-32,n2d-standard-32,3.33,0.4761,ZERO_TIMER,00:00
cluster-wf_spark_22,UNKNOWN_DAG_ID,5,3,n2d-highcpu-32,n2d-highcpu-32,3.32,0.3898,ZERO_TIMER,00:00
cluster-wf_spark_250,UNKNOWN_DAG_ID,4,3,n2-highcpu-8,n2-highcpu-8,3.29,0.1054,ZERO_TIMER,00:00
cluster-wf_spark_267,UNKNOWN_DAG_ID,2,3,n2-standard-32,n2-standard-32,3.29,0.5119,ZERO_TIMER,00:00
cluster-wf_spark_50,UNKNOWN_DAG_ID,3,3,n2d-highcpu-32,n2d-highcpu-32,3.24,0.3798,ZERO_TIMER,00:00
cluster-wf_spark_208,UNKNOWN_DAG_ID,3,4,n2-standard-32,n2-standard-32,3.23,0.6278,ZERO_TIMER,00:00
cluster-wf_spark_150,UNKNOWN_DAG_ID,1,3,e2-highcpu-32,e2-highcpu-32,3.18,0.2847,ZERO_TIMER,00:00
cluster-wf_spark_264,UNKNOWN_DAG_ID,3,3,e2-highcpu-32,e2-highcpu-32,3.16,0.2828,ZERO_TIMER,00:00
