cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,454,n2d-highcpu-2,n2d-highcpu-2,1690.66,1410.2932,T_01_00_TS,02:00
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,118,n2-standard-32,n2-standard-32,1078.48,4996.6672,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-dmr-load-t-05-00-0500,wf_DMR_LOAD_T_05_00,223,114,n2-standard-32,n2-standard-32,1351.68,6051.9109,T_05_00_ACT_OUT,06:00
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,114,n2-standard-32,n2-standard-32,240.20,1075.4650,T_07_30_MIS_TAC,08:30
cluster-wf-dwh-load-t-06-00-0600,wf_DWH_LOAD_T_06_00,105,110,e2-standard-32,e2-standard-32,1134.27,3384.3109,Timer_6_00,07:00
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,104,e2-standard-32,e2-standard-32,408.32,1152.4545,T_01_00_PD,02:00
cluster-wf-load-pulse-main,wf_LOAD_Pulse,30,97,n2-standard-32,n2-standard-32,151.57,578.3207,ZERO_TIMER,00:00
cluster-wf-dmr-load-e338500b-2208,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,152,91,n2d-standard-32,n2d-standard-32,570.20,1874.5172,T_22_08_AV,23:08
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,89,e2-standard-32,e2-standard-32,134.12,324.4547,T_06_00_DPM,07:00
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,79,n2-standard-32,n2-standard-32,3111.49,9691.2615,T_03_00_TI,04:00
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,79,n2d-standard-32,n2d-standard-32,1554.77,4444.5680,T_03_45_PM,04:45
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,79,n2d-standard-32,n2d-standard-32,779.55,2228.4608,T_05_50_EB,06:50
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,76,n2d-standard-32,n2d-standard-32,1715.22,4719.3613,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,76,e2-standard-32,e2-standard-32,1464.82,3031.8178,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,76,n2-standard-32,n2-standard-32,1299.98,3897.1523,T_06_35_EX_Payments,07:35
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,76,e2-standard-32,e2-standard-32,919.18,1902.4739,T_05_30_CVCM,06:30
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,76,n2-standard-32,n2-standard-32,861.30,2582.0658,Timer_03_00,04:00
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,76,e2-standard-32,e2-standard-32,528.21,1093.2661,T_22_31,23:31
cluster-wf-dmr-load-425ff947-0425,wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,42,76,e2-standard-32,e2-standard-32,110.42,228.5462,T_04_25_HO,05:25
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,70,e2-standard-32,e2-standard-32,169.33,323.1602,Timer_4_20,05:20
cluster-wf-dmr-load-t-03-00-0300,wf_DMR_LOAD_T_03_00,54,68,n2-standard-32,n2-standard-32,108.33,291.0258,T_03_00_MA,04:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,59,e2-standard-32,e2-standard-32,379.69,612.3707,T_05_00_GR,06:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,59,n2-standard-32,n2-standard-32,287.85,672.4091,T_07_40_ODIGO,08:40
cluster-wf-dwh-load-t-01-15-0115,wf_DWH_LOAD_T_01_15,29,59,e2-standard-32,e2-standard-32,70.48,113.6688,Timer_01_15,02:15
cluster-wf-cro-rc-load-main,wf_CRO_RC_LOAD,31,51,n2-standard-32,n2-standard-32,175.23,354.7624,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-22-25-2225,wf_DMR_LOAD_T_22_25,26,46,n2-standard-32,n2-standard-32,48.14,88.0923,T_22_25_EEMM,23:25
cluster-wf-dwh-load-940807f2-0435,wf_DWH_LOAD_NMIS_T_04_35__T_04_30,22,45,n2-standard-32,n2-standard-32,103.75,185.8063,T_4_35,05:35
cluster-wf-dmr-load-t-21-30-2130,wf_DMR_LOAD_T_21_30,85,42,n2-standard-32,n2-standard-32,176.05,294.7287,T_21_30_SG,22:30
cluster-wf-dwh-load-t-21-15-2115,wf_DWH_LOAD_T_21_15,47,42,e2-standard-32,e2-standard-32,199.01,230.0287,T_21_15_Seguros,22:15
cluster-wf-dmr-load-t-07-00-0700,wf_DMR_LOAD_T_07_00,40,40,n2d-standard-32,n2d-standard-32,113.06,165.6441,T_07_00_RISK_ALARMS,08:00
cluster-wf-load-info-25f3c2ad-0000,wf_LOAD_Infocentro_T_00_00,30,40,n2d-standard-32,n2d-standard-32,64.28,94.1675,T_00_00_Host_Alerts,01:00
cluster-wf-dwh-load-t-05-15-0515,wf_DWH_LOAD_T_05_15,110,37,e2-standard-32,e2-standard-32,527.23,538.5322,T_05_15_RRHH,06:15
cluster-wf-dwh-load-t-05-00-0500,wf_DWH_LOAD_T_05_00,46,37,n2-standard-32,n2-standard-32,89.21,131.9765,T_5_00_FDD,06:00
