family,vCpu_eur_per_hour,memGb_eur_per_hour
e2,0.0336,0.0042
n2,0.0470,0.0065
n2d,0.0430,0.0060
n1,0.0500,0.0068
c3,0.0600,0.0050
c4,0.0650,0.0055
n4,0.0490,0.0063
n4d,0.0460,0.0061
